transcript_id,section,AI,HUMAN,TOTAL,AI_share
creativity_0029,walkthrough,5,0,5,1.0
creativity_0030,dynamic,3,0,3,1.0
creativity_0030,project_example,3,1,4,0.75
creativity_0030,walkthrough,0,1,1,0.0
creativity_0031,dynamic,0,2,2,0.0
creativity_0031,walkthrough,1,0,1,1.0
creativity_0032,dynamic,0,2,2,0.0
creativity_0032,project_example,0,2,2,0.0
creativity_0032,walkthrough,2,1,3,0.6666666666666666
creativity_0033,dynamic,0,4,4,0.0
creativity_0033,project_example,1,0,1,1.0
creativity_0033,walkthrough,1,1,2,0.5
creativity_0034,dynamic,1,0,1,1.0
creativity_0034,project_example,0,2,2,0.0
creativity_0034,walkthrough,2,2,4,0.5
creativity_0035,dynamic,0,1,1,0.0
creativity_0035,project_example,2,1,3,0.6666666666666666
creativity_0035,walkthrough,3,1,4,0.75
creativity_0036,dynamic,1,0,1,1.0
creativity_0036,project_example,0,1,1,0.0
creativity_0036,walkthrough,1,0,1,1.0
creativity_0037,dynamic,0,1,1,0.0
creativity_0037,project_example,1,2,3,0.3333333333333333
creativity_0037,walkthrough,1,0,1,1.0
creativity_0038,dynamic,1,0,1,1.0
creativity_0038,project_example,0,2,2,0.0
creativity_0038,walkthrough,2,0,2,1.0
creativity_0039,project_example,1,3,4,0.25
creativity_0039,walkthrough,1,0,1,1.0
creativity_0040,dynamic,2,1,3,0.6666666666666666
creativity_0040,walkthrough,1,1,2,0.5
creativity_0041,project_example,0,1,1,0.0
creativity_0041,walkthrough,1,0,1,1.0
creativity_0042,project_example,2,1,3,0.6666666666666666
creativity_0042,walkthrough,2,0,2,1.0
creativity_0043,project_example,2,1,3,0.6666666666666666
creativity_0043,walkthrough,2,0,2,1.0
creativity_0044,walkthrough,2,0,2,1.0
creativity_0045,dynamic,0,1,1,0.0
creativity_0045,project_example,1,0,1,1.0
creativity_0045,walkthrough,3,0,3,1.0
creativity_0046,dynamic,1,0,1,1.0
creativity_0046,project_example,2,2,4,0.5
creativity_0046,walkthrough,2,0,2,1.0
creativity_0047,walkthrough,1,0,1,1.0
creativity_0048,dynamic,1,1,2,0.5
creativity_0048,project_example,1,1,2,0.5
creativity_0048,walkthrough,3,2,5,0.6
creativity_0049,dynamic,0,1,1,0.0
creativity_0049,walkthrough,3,0,3,1.0
creativity_0050,dynamic,1,1,2,0.5
creativity_0050,project_example,0,1,1,0.0
creativity_0050,walkthrough,1,1,2,0.5
creativity_0051,dynamic,0,1,1,0.0
creativity_0051,project_example,2,2,4,0.5
creativity_0051,walkthrough,1,0,1,1.0
creativity_0052,project_example,1,0,1,1.0
creativity_0052,walkthrough,0,1,1,0.0
creativity_0053,project_example,2,0,2,1.0
creativity_0053,walkthrough,0,2,2,0.0
creativity_0054,walkthrough,2,0,2,1.0
creativity_0055,dynamic,1,1,2,0.5
creativity_0055,project_example,3,2,5,0.6
creativity_0055,walkthrough,3,2,5,0.6
creativity_0056,project_example,1,0,1,1.0
creativity_0056,walkthrough,3,0,3,1.0
creativity_0057,walkthrough,2,1,3,0.6666666666666666
creativity_0058,dynamic,2,3,5,0.4
creativity_0058,walkthrough,3,7,10,0.3
creativity_0059,project_example,1,0,1,1.0
creativity_0059,walkthrough,1,1,2,0.5
creativity_0060,dynamic,1,1,2,0.5
creativity_0060,project_example,1,0,1,1.0
creativity_0060,walkthrough,1,0,1,1.0
creativity_0061,dynamic,0,4,4,0.0
creativity_0061,project_example,0,1,1,0.0
creativity_0061,walkthrough,2,0,2,1.0
creativity_0062,dynamic,1,1,2,0.5
creativity_0062,walkthrough,2,0,2,1.0
creativity_0063,project_example,1,0,1,1.0
creativity_0063,walkthrough,6,0,6,1.0
creativity_0064,dynamic,1,0,1,1.0
creativity_0064,walkthrough,2,1,3,0.6666666666666666
creativity_0065,dynamic,0,1,1,0.0
creativity_0065,project_example,1,0,1,1.0
creativity_0065,walkthrough,2,0,2,1.0
creativity_0066,project_example,1,2,3,0.3333333333333333
creativity_0066,walkthrough,1,1,2,0.5
creativity_0067,walkthrough,0,1,1,0.0
creativity_0068,dynamic,0,2,2,0.0
creativity_0068,project_example,1,1,2,0.5
creativity_0069,dynamic,0,2,2,0.0
creativity_0069,project_example,2,0,2,1.0
creativity_0069,walkthrough,2,0,2,1.0
creativity_0070,dynamic,1,0,1,1.0
creativity_0070,project_example,1,1,2,0.5
creativity_0070,walkthrough,2,3,5,0.4
creativity_0071,dynamic,0,2,2,0.0
creativity_0071,project_example,1,1,2,0.5
creativity_0071,walkthrough,4,4,8,0.5
creativity_0072,dynamic,2,1,3,0.6666666666666666
creativity_0072,walkthrough,3,0,3,1.0
creativity_0073,project_example,2,0,2,1.0
creativity_0073,walkthrough,6,0,6,1.0
creativity_0074,walkthrough,4,0,4,1.0
creativity_0075,dynamic,2,2,4,0.5
creativity_0076,walkthrough,1,0,1,1.0
creativity_0077,dynamic,2,1,3,0.6666666666666666
creativity_0077,project_example,1,1,2,0.5
creativity_0077,walkthrough,3,1,4,0.75
creativity_0078,project_example,3,0,3,1.0
creativity_0078,walkthrough,8,1,9,0.8888888888888888
creativity_0079,dynamic,0,1,1,0.0
creativity_0079,project_example,2,1,3,0.6666666666666666
creativity_0079,walkthrough,1,0,1,1.0
creativity_0080,dynamic,0,1,1,0.0
creativity_0080,project_example,0,2,2,0.0
creativity_0081,dynamic,1,0,1,1.0
creativity_0081,project_example,1,0,1,1.0
creativity_0081,walkthrough,3,0,3,1.0
creativity_0082,project_example,0,1,1,0.0
creativity_0082,walkthrough,2,0,2,1.0
creativity_0083,dynamic,1,1,2,0.5
creativity_0083,project_example,1,1,2,0.5
creativity_0083,walkthrough,3,0,3,1.0
creativity_0084,dynamic,0,1,1,0.0
creativity_0084,project_example,0,1,1,0.0
creativity_0084,walkthrough,4,2,6,0.6666666666666666
creativity_0085,dynamic,0,1,1,0.0
creativity_0085,project_example,0,1,1,0.0
creativity_0085,walkthrough,2,0,2,1.0
creativity_0086,dynamic,2,1,3,0.6666666666666666
creativity_0086,project_example,2,1,3,0.6666666666666666
creativity_0086,walkthrough,1,0,1,1.0
creativity_0087,dynamic,2,0,2,1.0
creativity_0088,dynamic,1,0,1,1.0
creativity_0088,project_example,1,0,1,1.0
creativity_0088,walkthrough,3,0,3,1.0
creativity_0089,dynamic,3,1,4,0.75
creativity_0089,project_example,2,2,4,0.5
creativity_0089,walkthrough,4,3,7,0.5714285714285714
creativity_0090,dynamic,1,0,1,1.0
creativity_0090,project_example,1,1,2,0.5
creativity_0090,walkthrough,2,0,2,1.0
creativity_0091,project_example,1,1,2,0.5
creativity_0091,walkthrough,2,1,3,0.6666666666666666
creativity_0092,dynamic,1,0,1,1.0
creativity_0092,project_example,1,1,2,0.5
creativity_0092,walkthrough,0,2,2,0.0
creativity_0093,dynamic,0,1,1,0.0
creativity_0093,project_example,1,0,1,1.0
creativity_0094,dynamic,1,1,2,0.5
creativity_0094,project_example,1,0,1,1.0
creativity_0094,walkthrough,2,0,2,1.0
creativity_0095,dynamic,1,0,1,1.0
creativity_0095,project_example,0,1,1,0.0
creativity_0096,dynamic,0,1,1,0.0
creativity_0096,walkthrough,4,0,4,1.0
creativity_0097,dynamic,1,1,2,0.5
creativity_0097,project_example,3,0,3,1.0
creativity_0097,walkthrough,4,0,4,1.0
creativity_0098,dynamic,1,1,2,0.5
creativity_0098,project_example,0,2,2,0.0
creativity_0098,walkthrough,0,2,2,0.0
creativity_0099,dynamic,0,1,1,0.0
creativity_0099,walkthrough,1,0,1,1.0
creativity_0100,dynamic,2,0,2,1.0
creativity_0101,project_example,0,2,2,0.0
creativity_0101,walkthrough,4,4,8,0.5
creativity_0102,dynamic,0,1,1,0.0
creativity_0102,project_example,0,1,1,0.0
creativity_0102,walkthrough,2,0,2,1.0
creativity_0103,dynamic,0,1,1,0.0
creativity_0103,project_example,2,0,2,1.0
creativity_0103,walkthrough,1,0,1,1.0
creativity_0104,dynamic,0,2,2,0.0
creativity_0104,project_example,1,0,1,1.0
creativity_0104,walkthrough,5,1,6,0.8333333333333334
creativity_0105,project_example,2,0,2,1.0
creativity_0106,dynamic,1,0,1,1.0
creativity_0106,project_example,1,0,1,1.0
creativity_0107,dynamic,1,0,1,1.0
creativity_0107,project_example,1,0,1,1.0
creativity_0107,walkthrough,2,2,4,0.5
creativity_0108,dynamic,0,2,2,0.0
creativity_0108,project_example,1,1,2,0.5
creativity_0108,walkthrough,1,1,2,0.5
creativity_0109,walkthrough,2,0,2,1.0
creativity_0110,dynamic,1,0,1,1.0
creativity_0110,project_example,1,0,1,1.0
creativity_0110,walkthrough,3,3,6,0.5
creativity_0111,dynamic,1,0,1,1.0
creativity_0111,project_example,0,1,1,0.0
creativity_0111,walkthrough,2,0,2,1.0
creativity_0112,dynamic,1,1,2,0.5
creativity_0113,walkthrough,4,0,4,1.0
creativity_0114,dynamic,0,1,1,0.0
creativity_0114,project_example,1,1,2,0.5
creativity_0114,walkthrough,3,0,3,1.0
creativity_0115,dynamic,1,2,3,0.3333333333333333
creativity_0116,dynamic,1,1,2,0.5
creativity_0116,project_example,1,0,1,1.0
creativity_0116,walkthrough,2,1,3,0.6666666666666666
creativity_0117,dynamic,3,0,3,1.0
creativity_0117,project_example,0,1,1,0.0
creativity_0117,walkthrough,3,0,3,1.0
creativity_0118,project_example,1,0,1,1.0
creativity_0118,walkthrough,2,0,2,1.0
creativity_0119,walkthrough,5,0,5,1.0
creativity_0120,project_example,1,0,1,1.0
creativity_0120,walkthrough,2,0,2,1.0
creativity_0121,dynamic,1,1,2,0.5
creativity_0121,project_example,1,0,1,1.0
creativity_0121,walkthrough,3,3,6,0.5
creativity_0122,dynamic,0,1,1,0.0
creativity_0122,project_example,1,0,1,1.0
creativity_0122,walkthrough,4,1,5,0.8
creativity_0123,dynamic,1,1,2,0.5
creativity_0123,project_example,5,0,5,1.0
creativity_0123,walkthrough,3,0,3,1.0
creativity_0124,walkthrough,2,0,2,1.0
