agent_binary,subj_lemma,pred_lemma,obj_lemma,action_lemma,pattern,voice,ai_in_obl,ai_obl_hits,freq,n_transcripts,n_sections,n_clusters,triplet_sig,examples,examples_ctx,ai_in_ctx
HUMAN,I,need,help,,SVO,ACT,,,7,7,3,5,I :: need :: help,I need extra help layout ||| I needed help ||| I need help concept,I need extra help layout  || ctx: when I really need extra help with ||| I needed help  || ctx: ) and I needed help creating an ||| I need help concept  || ctx: If I need help with a,FALSE
HUMAN,I,use,that,,SVO,ACT,,,7,7,2,4,I :: use :: that,I use that ||| I used that with ||| I used that,I use that  || ctx: that I would use for class . ||| I use that  || ctx: that I could use . ||| I used that with  || ctx: project that I used AI to help,TRUE
HUMAN,I,want,it,,SVO,ACT,,,7,7,3,5,I :: want :: it,I want it,I want it  || ctx: do what I want it to ||| I want it  || ctx: exactly how I want it . ||| I want it  || ctx: I did n't want it to be,FALSE
AI,AI,give,I,,SVO,ACT,,,6,6,3,4,AI :: give :: I,the AI give me ||| AI gave me ||| the AI gives me,the AI give me  || ctx: AI did n't give me something better ||| AI gave me  || ctx: AI then gave me some ideas ||| the AI gives me  || ctx: what the AI gives me at face,TRUE
AI,model,give,I,,SVO,ACT,,,6,6,3,3,model :: give :: I,the model gave me ||| the model give me ||| the AI model gives me,"the model gave me  || ctx: , the model gave me some creative ||| the model give me  || ctx: the model might give me on "" ||| the AI model gives me  || ctx: the AI model gives me , but",TRUE
,I,need,that,,SVO,ACT,,,6,6,3,4,I :: need :: that,I need that ||| I needed that ||| I need that with,I need that  || ctx: token that I need . ||| I needed that  || ctx: characteristics that I needed for the purpose ||| I need that  || ctx: that I would need and tell me,FALSE
AI,I,tell,AI,,SVO,ACT,,,6,6,3,2,I :: tell :: AI,I told the AI ||| I told AI ||| I tell the AI,I told the AI  || ctx: once I 've told the AI what ||| I told the AI  || ctx: So I told the AI what ||| I told the AI  || ctx: I had n't told the AI ),TRUE
HUMAN,I,think,that,,SVO,ACT,,,6,6,3,3,I :: think :: that,I thought that of ||| I thought that about ||| I think that,"I thought that of  || ctx: might not have thought of myself . ||| I thought that about  || ctx: may have not thought about , and ||| I thought that about  || ctx: never would have thought about but actually",FALSE
HUMAN,I,have,,do,SVxCOMP,ACT,,,6,5,3,4,I :: have ::  :: do,I have → do ||| I had → do,I have → do  || ctx: AI when I have to do a ||| I have → do  || ctx: I have to do some ||| I have → do  || ctx: I usually have to do my,TRUE
AI,I,ask,it,,SVO,ACT,,,5,5,3,3,I :: ask :: it,I ask it ||| I asked it ||| I asking it,"I ask it  || ctx: I also ask it for recommendations ||| I asked it  || ctx: blog and I asked it for a ||| I ask it  || ctx: , I might ask it for a",FALSE
HUMAN,I,describe,it,,SVO,ACT,,,5,5,2,2,I :: describe :: it,I describe it ||| me describing it,I describe it  || ctx: I would generally describe it as like ||| I describe it  || ctx: I would really describe it as a ||| I describe it  || ctx: so I 'd describe it almost like,FALSE
HUMAN,I,find,it,,SVO,ACT,,,5,5,2,3,I :: find :: it,I find it ||| I found it,"I find it  || ctx: I ca n't find it right now ||| I found it  || ctx: I found it actually very ||| I found it  || ctx: and I 've found it helpful ,",FALSE
AI,I,find,myself,use,SVOxCOMP,ACT,,,5,5,1,2,I :: find :: myself :: use,I find myself → using ||| I found myself → using,"I find myself → using  || ctx: 'll also sometimes find myself using it ||| I find myself → using  || ctx: editing , I find myself using AI ||| I find myself → using  || ctx: I usually find myself using AI",TRUE
HUMAN,I,make,decision,,SVO,ACT,,,5,5,1,3,I :: make :: decision,I making the creative decisions ||| I make the decisions ||| I make the right decision,"I making the creative decisions  || ctx: I am still making the creative decisions ||| I make the decisions  || ctx: Ultimately , I make the decisions , ||| I making the creative decisions  || ctx: I was definitely making the creative decisions",FALSE
AI,I,talk,,,SV,ACT,TRUE,gemini,5,5,2,4,I :: talk ::,I talked ||| I talking ||| I talk,"I talked  || ctx: , I 've talked with Gemini and ||| I talking  || ctx: if I 'm talking to a writing ||| I talked  || ctx: the AI I talked to pointed out",TRUE
AI,I,try,,use,SVxCOMP,ACT,,,5,5,2,4,I :: try ::  :: use,I try → use ||| I trying → use ||| I tried → using,"I try → use  || ctx: arts so I try to use AI ||| I try → use  || ctx: , but I try not to use ||| I trying → use  || ctx: word I 'm trying to use .",TRUE
AI,I,turn,,,SV,ACT,TRUE,model|ai,5,5,3,3,I :: turn ::,I turn ||| I Turned,I turn  || ctx: is when I turn to the model ||| I turn  || ctx: then I might turn to an AI ||| I turn  || ctx: as I 'll turn to human proof,TRUE
AI,I,use,ChatGPT,,SVO,ACT,,,5,5,2,4,I :: use :: ChatGPT,I used ChatGPT ||| I use ChatGPT,I used ChatGPT  || ctx: I used ChatGPT specifically for ||| I use ChatGPT  || ctx: for example I use ChatGPT or similar ||| I use ChatGPT  || ctx: situation that I use ChatGPT for .,TRUE
HUMAN,I,do,this,,SVO,ACT,,,5,4,2,3,I :: do :: this,I do this ||| I did this,"I do this  || ctx: paragraph , I do this because I ||| I do this  || ctx: I do this because the ||| I did this  || ctx: I did this with any",FALSE
AI,AI,help,I,,SVO,ACT,,,4,4,1,3,AI :: help :: I,AI helps me ||| AI help me,"AI helps me  || ctx: hand so AI helps me in that ||| AI help me  || ctx: I have AI help me with using ||| AI helps me  || ctx: , and AI helps me when I",TRUE
AI,I,ask,it,generate,SVOxCOMP,ACT,,,4,4,2,3,I :: ask :: it :: generate,I asked it → generate ||| I ask it → generate,"I asked it → generate  || ctx: I then asked it to generate ||| I asked it → generate  || ctx: Then I asked it to generate ||| I asked it → generate  || ctx: , I just asked it to generate",FALSE
AI,I,ask,model,,SVO,ACT,,,4,4,3,2,I :: ask :: model,I asked the model ||| I ask the model ||| I asked an AI model,"I asked the model  || ctx: I asked the model if ||| I ask the model  || ctx: , I just ask the model what ||| I asked an AI model  || ctx: , so I asked an AI model",TRUE
AI,I,find,AI,,SVO,ACT,,,4,4,3,3,I :: find :: AI,I found the AI ||| I find AI ||| I find use AI,I found the AI  || ctx: Rarely have I found the AI particularly ||| I find AI  || ctx: I really find AI indispensable ! ||| I find AI  || ctx: I do find AI to be,TRUE
,I,find,that,,SVO,ACT,,,4,4,3,3,I :: find :: that,I found that ||| I find that,I found that  || ctx: otherwise not have found on my own ||| I found that  || ctx: that I have found for use in ||| I find that  || ctx: redundant and I find that frustrating .,FALSE
HUMAN,I,give,idea,,SVO,ACT,,,4,4,3,2,I :: give :: idea,I giving the initial idea ||| I given a general idea setting ||| I give a rough idea what,I giving the initial idea  || ctx: sure I am giving the initial idea ||| I given a general idea setting  || ctx: I 've also given the model a ||| I give a rough idea what  || ctx: Like I sometimes give a rough idea,TRUE
AI,I,give,it,,SVO,ACT,,,4,4,2,3,I :: give :: it,I gave it ||| I give it,I gave it  || ctx: a world I gave it and ran ||| I gave it  || ctx: also suggest I gave it a section ||| I give it  || ctx: I give it a problem,FALSE
,I,have,,spend,SVxCOMP,ACT,,,4,4,2,3,I :: have ::  :: spend,I had → spend ||| I have → spend,I had → spend  || ctx: meant I still had to spend a ||| I had → spend  || ctx: I would have had to spend literally ||| I have → spend  || ctx: I do n't have to spend too,FALSE
,I,have,block,,SVO,ACT,,,4,4,1,3,I :: have :: block,I have a creative block ||| I have writer block ||| I have a mental block,"I have a creative block  || ctx: ideas when I have a creative block ||| I have writer block  || ctx: Sometimes I have "" writer 's ||| I have writer block  || ctx: continuing when I have writer 's block",FALSE
AI,I,have,conversation,,SVO,ACT,,,4,4,2,3,I :: have :: conversation,I had a conversation model ||| I have a conversation ChatGPT ||| I have a long conversation AI,I had a conversation model  || ctx: I had a conversation with ||| I have a conversation ChatGPT  || ctx: I have a conversation in ||| I have a long conversation AI  || ctx: I typically will have a pretty long,TRUE
,I,have,time,,SVO,ACT,,,4,4,3,3,I :: have :: time,I having a hard time ||| I have the time ||| I have zero time,I having a hard time  || ctx: If I 'm having a hard time ||| I have the time  || ctx: just did n't have the time to ||| I have zero time  || ctx: day where I have zero time or,FALSE
,I,have,trouble,,SVO,ACT,,,4,4,1,4,I :: have :: trouble,I have trouble ||| I having trouble,I have trouble  || ctx: and sometimes I have trouble being direct ||| I having trouble  || ctx: if I 'm having trouble with sources ||| I have trouble  || ctx: I often have trouble coming up,FALSE
,I,know,what,,SVO,ACT,,,4,4,2,3,I :: know :: what,I know what,"I know what  || ctx: I know what I want ||| I know what  || ctx: And I know what the market ||| I know what  || ctx: , I will know what I want",FALSE
HUMAN,I,prefer,,do,SVxCOMP,ACT,,,4,4,2,2,I :: prefer ::  :: do,I prefer → do,"I prefer → do  || ctx: , which I prefer to do myself ||| I prefer → do  || ctx: I prefer to do my ||| I prefer → do  || ctx: , but I prefer to do the",FALSE
AI,I,rely,,,SV,ACT,TRUE,ai,4,4,1,3,I :: rely ::,I rely,"I rely  || ctx: , I may rely on it heavily ||| I rely  || ctx: I do n't rely on it for ||| I rely  || ctx: I rely heavily on AI",TRUE
,I,say,,drive,SVxCOMP,ACT,,,4,4,1,3,I :: say ::  :: drive,I say → driving,I say → driving  || ctx: I would say the AI is ||| I say → driving  || ctx: So I would say that I am ||| I say → driving  || ctx: I would still say I am confidently,TRUE
,I,see,it,,SVO,ACT,,,4,4,3,3,I :: see :: it,I see it,"I see it  || ctx: I do n't see it as any ||| I see it  || ctx: it when I see it "" creative ||| I see it  || ctx: I see it as a",FALSE
HUMAN,I,think,,help,SVxCOMP,ACT,,,4,4,3,3,I :: think ::  :: help,I think → helps ||| I think → helped ||| I think → help,I think → helps  || ctx: I think the different perspective ||| I think → helped  || ctx: earliest stages I think AI helped me ||| I think → help  || ctx: I do n't think AI can help,TRUE
AI,I,use,AI,generate,SVOxCOMP,ACT,,,4,4,2,2,I :: use :: AI :: generate,I used AI → generate ||| I use AI → generate,"I used AI → generate  || ctx: , so I used AI to generate ||| I use AI → generate  || ctx: ideas so I use AI to generate ||| I used AI → generate  || ctx: I 've used AI to generate",TRUE
AI,I,use,AI,help,SVOxCOMP,ACT,,,4,4,2,3,I :: use :: AI :: help,I used AI → help ||| I using AI → help,I used AI → help  || ctx: I most recently used AI to help ||| I using AI → help  || ctx: I 've been using AI to help ||| I used AI → help  || ctx: but I 've used AI to help,TRUE
AI,I,use,they,,SVO,ACT,,,4,4,2,3,I :: use :: they,I use them ||| I used them,"I use them  || ctx: , I mainly use them for exploring ||| I use them  || ctx: do n't always use them in every ||| I used them  || ctx: and then I used them as starting",FALSE
,I,do,that,,SVO,ACT,,,4,3,2,3,I :: do :: that,I do that ||| I done that prior,I do that  || ctx: I might actually do that on a ||| I do that  || ctx: unoriginal when I do that . ||| I done that prior  || ctx: could not have done prior .,FALSE
,I,like,,think,SVxCOMP,ACT,,,4,3,2,2,I :: like ::  :: think,I like → think,I like → think  || ctx: I 'd like to think that ||| I like → think  || ctx: I 'd like to think it ||| I like → think  || ctx: I like to think of,FALSE
,I,provide,I,,SVO,PASS,,,4,3,2,2,I :: provide :: I,I provided I,I provided I  || ctx: I was being provided instead of having ||| I provided I  || ctx: I was only provided with one view ||| I provided I  || ctx: I 'm either provided with an overload,FALSE
AI,I,tell,it,,SVO,ACT,,,4,3,3,2,I :: tell :: it,I told it ||| I tell it,I told it  || ctx: Then I told it the 4 ||| I tell it  || ctx: I 'll just tell it its being ||| I tell it  || ctx: I can tell it what I,FALSE
HUMAN,I,want,,make,SVxCOMP,ACT,,,4,3,2,2,I :: want ::  :: make,I want → make,"I want → make  || ctx: the pack I want to make , ||| I want → make  || ctx: , because I want to make "" ||| I want → make  || ctx: I always want to make sure",FALSE
AI,model,do,job,,SVO,ACT,,,3,3,1,3,model :: do :: job,The model did a decent job ||| The model did a great job ||| the model does a great job,"The model did a decent job  || ctx: The model did a decent job ||| The model did a great job  || ctx: The model did a great job ||| the model does a great job  || ctx: , the model does a great job",TRUE
AI,I,ask,AI,help,SVOxCOMP,ACT,,,3,3,2,3,I :: ask :: AI :: help,I asking AI → help ||| I ask the AI → help ||| I asked AI → help,"I asking AI → help  || ctx: I 've been asking AI to help ||| I ask the AI → help  || ctx: , I might ask the AI to ||| I asked AI → help  || ctx: , so I asked AI to help",TRUE
AI,I,ask,AI,provide,SVOxCOMP,ACT,,,3,3,2,2,I :: ask :: AI :: provide,I ask a enabled smart AI thinking → provide ||| I ask the AI → provide ||| I asked AI → provide,I ask a enabled smart AI thinking → provide  || ctx: I 'll just ask a search - ||| I ask the AI → provide  || ctx: I often ask the AI to ||| I asked AI → provide  || ctx: I asked AI to provide,TRUE
HUMAN,I,do,research,,SVO,ACT,,,3,3,2,3,I :: do :: research,I done my own research ||| I do some online research ||| I do traditional research Googling,"I done my own research  || ctx: probably could have done my own research ||| I do some online research  || ctx: I did do some online research ||| I do traditional research Googling  || ctx: , I will do traditional research of",FALSE
HUMAN,I,feel,,overwhelm,SVxCOMP,ACT,,,3,3,3,3,I :: feel ::  :: overwhelm,I felt → overwhelmed ||| I feeling → overwhelmed,I felt → overwhelmed  || ctx: I felt overwhelmed going in ||| I feeling → overwhelmed  || ctx: if I am feeling overwhelmed or nervous ||| I feeling → overwhelmed  || ctx: when I 'm feeling overwhelmed with All,FALSE
,I,have,that,,SVO,ACT,,,3,3,2,2,I :: have :: that,I have that ||| I had that ||| I have that of,I have that  || ctx: idea that I have . ||| I had that  || ctx: vising that I had . ||| I have that of  || ctx: topic that I have no previous knowledge,FALSE
HUMAN,I,need,,do,SVxCOMP,ACT,,,3,3,1,2,I :: need ::  :: do,I need → do,"I need → do  || ctx: where I might need to do some ||| I need → do  || ctx: up that I need to do something ||| I need → do  || ctx: , so I need to do all",FALSE
HUMAN,I,need,it,,SVO,ACT,,,3,3,2,3,I :: need :: it,I need it ||| I needed it,"I need it  || ctx: option when I need it . ||| I needed it  || ctx: Again , I needed it to be ||| I need it  || ctx: there when I need it , when",FALSE
AI,I,run,it,,SVO,ACT,,,3,3,2,2,I :: run :: it,I run it ||| I ran it,"I run it  || ctx: , I will run it by AI ||| I run it  || ctx: I usually just run it through for ||| I ran it  || ctx: I ran it through AI",TRUE
,I,take,it,,SVO,ACT,,,3,3,2,3,I :: take :: it,I take it,I take it  || ctx: so I could take it and make ||| I take it  || ctx: I will sometimes take it to AI ||| I take it  || ctx: and I 'll take it from there,TRUE
,I,task,I,,SVO,PASS,,,3,3,1,2,I :: task :: I,I tasked I,I tasked I  || ctx: I was tasked with writing some ||| I tasked I  || ctx: I have been tasked with trying to ||| I tasked I  || ctx: I was tasked with writing a,FALSE
HUMAN,I,tend,,write,SVxCOMP,ACT,,,3,3,2,1,I :: tend ::  :: write,I tend → write,"I tend → write  || ctx: I do tend to collaboratively write ||| I tend → write  || ctx: I tend to write in ||| I tend → write  || ctx: , because I tend to write about",FALSE
HUMAN,I,use,idea,,SVO,ACT,,,3,3,1,3,I :: use :: idea,I using my ideas ||| I use the ideas ||| I use an idea,"I using my ideas  || ctx: I 'm still using my ideas , ||| I use the ideas  || ctx: I did n't use the ideas exactly ||| I use an idea  || ctx: I never just use an idea that",FALSE
HUMAN,I,want,,change,SVxCOMP,ACT,,,3,3,3,2,I :: want ::  :: change,I wanted → change ||| I want → change,"I wanted → change  || ctx: , but I wanted to change a ||| I want → change  || ctx: or if I want to change them ||| I want → change  || ctx: it when I want to change the",FALSE
HUMAN,I,want,,go,SVxCOMP,ACT,,,3,3,3,3,I :: want ::  :: go,I want → go,"I want → go  || ctx: did n't necessarily want to go in ||| I want → go  || ctx: the direction I want to go and ||| I want → go  || ctx: get where I want to go ,",FALSE
HUMAN,I,want,,include,SVxCOMP,ACT,,,3,3,2,2,I :: want ::  :: include,I want → include ||| I wanted → include,I want → include  || ctx: the assets I want to include . ||| I wanted → include  || ctx: the jargon I wanted to include into ||| I want → include  || ctx: of what I want to include in,FALSE
AI,AI,use,AI,,SVO,PASS,,,3,2,3,2,AI :: use :: AI,AI used AI,AI used AI  || ctx: AI can be used for spitballing ideas ||| AI used AI  || ctx: AI is used more as a ||| AI used AI  || ctx: is really only used for the sake,TRUE
HUMAN,I,get,idea,,SVO,ACT,,,3,2,2,2,I :: get :: idea,I got my initial idea ||| I get my ideas ||| I get a new idea,I got my initial idea  || ctx: When I got my initial idea ||| I get my ideas  || ctx: I usually get my ideas from ||| I get a new idea  || ctx: I at least get a new idea,FALSE
,I,get,result,,SVO,ACT,,,3,2,2,2,I :: get :: result,I gotten a result ||| I get a good result ||| I getting better results,I gotten a result  || ctx: I have n't gotten a result I ||| I get a good result  || ctx: - when I get a good result ||| I getting better results  || ctx: would probably be getting better results with,FALSE
AI,I,give,model,,SVO,ACT,,,3,2,3,1,I :: give :: model,I given the model ||| I gave the model,"I given the model  || ctx: I 've also given the model a ||| I gave the model  || ctx: experiments where I gave the model a ||| I gave the model  || ctx: Later , I gave the model the",TRUE
,I,have,character,,SVO,ACT,,,3,2,2,1,I :: have :: character,I have characters ||| I have a character,"I have characters  || ctx: example , I have characters who are ||| I have a character  || ctx: was that I have a character whose ||| I have a character  || ctx: book , I have a character who",FALSE
,I,like,result,,SVO,ACT,,,3,2,1,2,I :: like :: result,I like the results,"I like the results  || ctx: If I like the results , ||| I like the results  || ctx: I do n't like the results , ||| I like the results  || ctx: deciding whether I like the results or",FALSE
HUMAN,I,need,,figure,SVxCOMP,ACT,,,3,2,2,2,I :: need ::  :: figure,I needed → figure ||| I need → figure,I needed → figure  || ctx: was when I needed to figure out ||| I need → figure  || ctx: Or when I need to figure out ||| I needed → figure  || ctx: I needed to figure out,FALSE
HUMAN,I,want,,see,SVxCOMP,ACT,,,3,2,2,2,I :: want ::  :: see,I want → see ||| I wanted → see,I want → see  || ctx: I did n't want to see anymore ||| I wanted → see  || ctx: fly that I wanted to see how ||| I want → see  || ctx: parameters because I want to see what,FALSE
AI,we,use,AI,,SVO,ACT,,,3,2,2,2,we :: use :: AI,we use AI ||| we used AI,we use AI  || ctx: First we use AI in the ||| we use AI  || ctx: area where we use AI . ||| we used AI  || ctx: only thing we used AI for was,TRUE
HUMAN,I,create,kit,,SVO,ACT,,,3,1,2,1,I :: create :: kit,I creating a fall themed scrapbooking kit ||| I creating a happy mail themed scrapbook kit palette ||| I creating a fall happy mail themed scrapbooking kit,"I creating a fall themed scrapbooking kit  || ctx: "" I am creating a fall themed ||| I creating a happy mail themed scrapbook kit palette  || ctx: AI I 'm creating a happy mail ||| I creating a fall happy mail themed scrapbooking kit  || ctx: "" I am creating a fall happy",TRUE
AI,I,use,Ai,,SVO,ACT,,,3,1,2,1,I :: use :: Ai,I use Ai ||| I used Ai,I use Ai  || ctx: discuss I will use Ai to find ||| I use Ai  || ctx: I really use Ai for most ||| I used Ai  || ctx: I used Ai to generate,TRUE
AI,AI,give,idea,,SVO,ACT,,,2,2,2,2,AI :: give :: idea,AI gave some ideas ||| the AI gives ideas,AI gave some ideas  || ctx: AI then gave me some ideas ||| the AI gives ideas  || ctx: though the AI gives me ideas .,TRUE
AI,AI,give,suggestion,,SVO,ACT,,,2,2,2,2,AI :: give :: suggestion,AI gave some suggestions ||| the AI give suggestions,"AI gave some suggestions  || ctx: AI then gave some suggestions and ||| the AI give suggestions  || ctx: the AI can give suggestions , I",TRUE
AI,AI,have,difficulty,,SVO,ACT,,,2,2,1,2,AI :: have :: difficulty,the AI had difficulty parameters ||| the AI has difficulty,"the AI had difficulty parameters  || ctx: because the AI had difficulty with certain ||| the AI has difficulty  || ctx: , the AI has difficulty editing the",TRUE
AI,I,approach,AI,,SVO,ACT,,,2,2,1,2,I :: approach :: AI,I approach AI ||| I approached the AI,I approach AI  || ctx: do n't really approach AI when stuck ||| I approached the AI  || ctx: interpretation and I approached the AI in,TRUE
AI,I,ask,AI,make,SVOxCOMP,ACT,,,2,2,2,2,I :: ask :: AI :: make,I ask AI → make ||| I ask the AI → make,"I ask AI → make  || ctx: , I can ask AI to make ||| I ask the AI → make  || ctx: , I could ask the AI to",TRUE
AI,I,ask,how,,SVO,ACT,,,2,2,1,1,I :: ask :: how,I ask how,"I ask how  || ctx: I would simply ask how to do ||| I ask how  || ctx: other , I ask AI how they",TRUE
,I,begin,,,SV,ACT,TRUE,ai,2,2,2,1,I :: begin ::,I begin,"I begin  || ctx: I ultimately begin with AI to ||| I begin  || ctx: , I typically begin with my objective",TRUE
AI,I,bounce,idea,,SVO,ACT,,,2,2,2,2,I :: bounce :: idea,I bouncing ideas ||| I bounced some ideas,I bouncing ideas  || ctx: if I was bouncing ideas off of ||| I bounced some ideas  || ctx: I bounced some ideas around,FALSE
HUMAN,I,change,word,,SVO,ACT,,,2,2,1,1,I :: change :: word,I changed one word ||| I change some words,"I changed one word  || ctx: , so I changed one word and ||| I change some words  || ctx: it suggested I change some words to",FALSE
HUMAN,I,consider,that,,SVO,ACT,,,2,2,1,2,I :: consider :: that,I considered that,I considered that  || ctx: I had n't considered . ||| I considered that  || ctx: I have n't considered before .,FALSE
HUMAN,I,create,video,,SVO,ACT,,,2,2,1,2,I :: create :: video,I created an exaggerated style video man ||| I created a promo video pantry,I created an exaggerated style video man  || ctx: So I created an exaggerated cartoon ||| I created a promo video pantry  || ctx: I created a promo video,FALSE
HUMAN,I,drive,collaboration,,SVO,ACT,,,2,2,1,2,I :: drive :: collaboration,I driving the collaboration,I driving the collaboration  || ctx: that I am driving the collaboration and ||| I driving the collaboration  || ctx: that I 'm driving the collaboration .,FALSE
,I,enjoy,process,,SVO,ACT,,,2,2,1,2,I :: enjoy :: process,I enjoyed the process ||| I enjoy my creative process,"I enjoyed the process  || ctx: , I really enjoyed the process of ||| I enjoy my creative process  || ctx: because I really enjoy my creative process",FALSE
,I,feel,,go,SVxCOMP,ACT,,,2,2,1,2,I :: feel ::  :: go,I feel → going ||| I feel → goes,I feel → going  || ctx: I feel those skills are ||| I feel → goes  || ctx: I feel that the AI,TRUE
,I,feel,,have,SVxCOMP,ACT,,,2,2,2,2,I :: feel ::  :: have,I feel → have,"I feel → have  || ctx: I just feel I have less ||| I feel → have  || ctx: things , I feel I have to",FALSE
,I,find,,need,SVxCOMP,ACT,,,2,2,2,2,I :: find ::  :: need,I find → need ||| I found → need,I find → need  || ctx: I find I need to ||| I found → need  || ctx: I 've found that when requesting,FALSE
AI,I,find,,use,SVxCOMP,ACT,,,2,2,1,2,I :: find ::  :: use,I find → using ||| I find → use,I find → using  || ctx: I find using AI very ||| I find → use  || ctx: I find I use AI,TRUE
AI,I,find,myself,ask,SVOxCOMP,ACT,,,2,2,1,2,I :: find :: myself :: ask,I find myself → asking,I find myself → asking  || ctx: So typically I find myself asking for ||| I find myself → asking  || ctx: I find myself asking AI,TRUE
AI,I,find,myself,reach,SVOxCOMP,ACT,,,2,2,1,2,I :: find :: myself :: reach,I find myself → reaching,I find myself → reaching  || ctx: I find myself increasingly reaching ||| I find myself → reaching  || ctx: I find myself reaching for,FALSE
AI,I,get,AI,,SVO,ACT,,,2,2,1,2,I :: get :: AI,I gotten the AI ||| I get AI,I gotten the AI  || ctx: before I 've gotten the AI to ||| I get AI  || ctx: decisions but I get AI to identify,TRUE
HUMAN,I,get,image,,SVO,ACT,,,2,2,1,1,I :: get :: image,I get an image,I get an image  || ctx: When I get an image that ||| I get an image  || ctx: but I did get an image of,FALSE
HUMAN,I,get,what,,SVO,ACT,,,2,2,2,2,I :: get :: what,I get what,I get what  || ctx: tweaks until I get what I need ||| I get what  || ctx: I did n't get what I needed,FALSE
AI,I,give,AI,,SVO,ACT,,,2,2,1,2,I :: give :: AI,I give the AI ||| I give AI,I give the AI  || ctx: I will sometimes give the AI a ||| I give AI  || ctx: I give AI the parameters,TRUE
HUMAN,I,give,example,,SVO,ACT,,,2,2,1,2,I :: give :: example,I give an example ||| I give an example project,I give an example  || ctx: If I can give you an example ||| I give an example project  || ctx: I 'll give an example of,FALSE
