	transcript_id	group	long_cluster	long_centroid	u_intro	u_basic job description	u_walkthrough	u_project example
10	creativity_0010	Content writing	2	I work on writing research style blogs t	"Sounds good - no questions from me.
"	"I run a small business/ hobby (technically a business, since I make money from it and treat it as a business) doing fantasy map commissions for independent authors and DnD players. I also create my own fantasy map assets (such as mountains, icons, trees, really anything you might find on a fantasy map) and sell them on [REDACTED], on Etsy, and a marketplace for map assets. A typical project can be one of two things: a commission involves receiving a request for a custom map from a client. They fill out the details regarding the map, and I correspond with them before, during, and after designing the map. I use digital programs such as Wonderdraft and Procreate to create this map, then I send it to the client and go through a revision process. Commissions usually take a week or so per map, about 3 hours per day. Then the map asset projects are a bit different, as I do this on my own schedule. I'll come up with a pack theme (such as pirates, medieval, isometric cities, etc) and make a list of assets and a rough count of each to include. I'll then draw the assets on Procreate, export them to my PC, organize and name the files, create product listing images and promos for them, then upload them to the appropriate markets.
"	"I only use AI tools in my asset pack creation, not commissions. If I'm having a hard time coming up with assets to fit in the pack I want to make, I'll ask AI tools such as Gemini or ChatGPT to help me brainstorm some ideas. Then, when I'm designing the assets, I will ask a generative AI program to bulk create the assets I want to include. I use these asset sketches as guidelines for doing the linework of my drawings. I don't use the actual files, but instead, I'll trace over the sketches using my style of art, making modifications as I draw. The rest of the process, including shading, coloring, details, etc is done without AI.
"	"I just recently started a pack of assets using an old inky style of art to fit antique fountain pen-drawn maps throughout history. I couldn't figure out the exact style I wanted, and couldn't replicate the images in my head onto Procreate, nor could I figure out the right shape for the mountains, so I used AI to generate about 30 jagged mountains using a blotchy ink shading so that I could see a tangible, visual representation of what was in my head so I could better replicate it with the Procreate brushes I have. It felt like cheating at first, to use AI to come up with a style that I don't have the skill to create on my own. But, I figured that I'm not stealing work, I'm not using the images themselves as the assets, and I'm only using the images as inspiration instead of the end product. So, it's okay, in my mind. I'm just using AI to fill the skill gaps I still have until I improve my craft enough to confidently fill those gaps on my own.
A lot of artwork on Etsy (a marketplace I sell on) is AI-generated, and I've seen people online criticize the use of AI for artwork in general. So, I felt super guilty at first, because I want to make ""real"" art, using my own ideas, designs, creativity, my own hand drawing the artwork. Then, I realized that I'm still doing all of that. I'm not generating artwork in 2 seconds just to turn around and sell that same image on Etsy for $3 as if I'm the artist. I admit that there is creativity in formulating prompts to give generative AI so that the end result is the best it can possibly be. But I don't want my brand and my business image to be so heavily tied to AI and the stigma that surrounds it. I don't want to be accused of stealing artwork, or stealing ideas and styles and designs. When I realized that my use of AI isn't making use of these unethical practices, I felt less guilty. Because I'm still using my ideas, my designs, my creativity, and my hand drawing the artwork. I'm just using AI as a tool to brainstorm some ideas and show me what proper perspective, proportions, and shadows look like on an asset. These are all things that I'm learning from the AI generations. When I realized that I'm not stealing anything, and that I'm not using AI in an unethical way (in my opinion), I felt okay with it. I don't see it as any different than following a ""how to draw mountains on your map"" guide from another creator. At least this way, I'm still staying true to my own style.
"
11	creativity_0011	Art, design, crafts	1	I do a variety of creative work. I am se	"Sounds good, I'm ready.
"	"I am a contract-based graphic designer who specializes in preparing projects to print. Typically, I produce a lot of promotional material for my clients, which includes some small projects like business cards or flyers, but also cohesive suites of materials (think business cards + forms, flyers, banners, etc.). I've even delved into website creation, script treatments, and more based on what clients need and what I can provide. A client will contact me, give me an idea of what they want, and generally give me free rein over how it gets made; then we hammer out changes.
"	"I'm in my thirties, so old enough to be wary of AI's current limitations, but also of the generation that understands that computers—and now, AI—are just another set of tools, just like Photoshop and Wacom tablets. There was pushback when these things became available to artists and designers, now people pay plenty for a good digital artist. In my case, I have used AI for my graphic design work sparingly, occasionally to make mockups of things that I want to produce with greater skill or specific sizing/layouts, but generally as a timesaver for rote tasks. For example, recently I asked if a client had a copy of his business logo, preferably on a business card, so I could take it and make it ""camera ready."" He had it on a shirt with a gray background. In Photoshop, this can be as easy as selecting a color range and knocking back the background or isolating the solid-color logo, but then you have to account for warp and any artifacts around the edges of it, which can be a pain to clean up. I used an AI tool  to extract this logo for me, and it did well, but wasn't perfect. It claimed to give me a transparent background, even threw in the gray-and-white checkerboard, but I still had to go in and separate the logo. Still, it saved some time; the edges were very clean and it took care of about 70% of the warping, so I killed the background and tweaked the warped text so I could use the logo.
"	"Another project I did was of a more personal nature. A colleague of my mother's had some photos from her niece's wedding that were, sadly, not terribly professional, but a relative did them for free. She remembered that I designed a banner for the store's manager who had died the previous year. There were no photos of the niece and her grandparents together, just in separate photos, and interestingly, there was a person in the main group photo to be edited that was wearing an oversized, neon orange shirt that completely overtook the bride. But the best photos of the grandparents had red eye and they weren't smiling. I was able to use AI to composite some ""good"" grandparents together, then in Photoshop I pasted everyone in, moved some people around in front of T-shirt guy (he was tall), toned down said shirt, then ran a copy of it through an AI tool to smooth some things out, then checked everything back over in PS to ensure it looked realistic, no floating hands, etc.
"
12	creativity_0012	Fiction writing	0	I'm a writer, primarily of science ficti	"No, go ahead
"	"I write creative fiction. Up to now it's been flash fiction and short stories, and I've won awards for some of them. Now I'm working on my first full-length novel.
"	"One thing I will never use AI for is getting it to write or re-write a section of text for me as that's no better than employing a ghost writer and I'd feel a fraud. I will never lift an entire paragraph of text from AI and put it into my work. 
What I do use AI for is discussing some more technical aspects of writing. This might be as simple as the placement of a comma in a sentence, or as complex as shifting points of view between chapters of a novel. I might also use it for brainstorming ideas.
"	"Sure. I was grappling with POV in the early stages of my novel. I was writing in first-person POV but events were happening around the country (riots, looting, society breaking down). I was struggling with how I could describe those events in detail as the protagonist couldn't be at all these places around the country and I was wary of having an omniscient narrator.
It suggested various ways of describing second-hand accounts, e.g. news, social media, eye witness accounts, rumours, footage, etc. As it happened, my protagonist is a reporter which lends itself quite well to this. The person he's interviewing can be relating what he's seen in vivid detail to the protagonist - so I still get the ""show don't tell"" without the protagonist being there himself.
It did also suggest I gave it a section of my text for it to re-write in a more immersive way, but as already mentioned, that's not something I do.
"
13	creativity_0013	Mix	3	I'm an artist and a writer with a PhD in	"No questions claude, fire away.
"	"So I have a side job/hobby/hustle creating marketing materials for authors that they can use in promotions, like images or videos, all AI generated. My most recent project was to generate some clips with AI and then put those together to make a mini trailor or 'vibe reel' for a thriller novel set in rio de janeiro, so the author could use it as a banner on the books amazon page.
"	"So, the authors usually send me a 'storyboard' or general outline for what they want in the trailor, but I often use AI models to help me figure out more about the book if I have not read it, so for example I use ChatGPT or similar to break down the blub or a summary of the book, and use that to help me get the gist of the book. Then I can use this to turn into prompts for Sora to get the images.
"	"The author gave me a story outline for the trailor, 5-6 scenes or 'moments' he wanted short videos or images for - such as a scene walking through a favela, or standing on a hill above the city. He gave me the blurb and a summary, and also a folder full of reference images that could be useful for giving to Sora to animate or just to give me the idea of what he wanted. I then used each of these scenes to create a prompt to give to sora, and with a lot of tries and remixes came out with some good videos.
"
14	creativity_0014	Art, design, crafts	1	I do a variety of creative work. I am se	"No,  I think I am ready to begin with whatever questions you have for me
"	"So my creative niche is I create 3D printed tokens for card games, most typically Magic: The Gathering, using a program called HueForge to take a 2D design and give it depth, scale, and colour. A typical project is starting with a need for a token/card design - be it from client, or for general sales - and working through creating a drawing, photoshopping it to be set for HueForge, and then colour mapping in HueForge to create an STL, a 3D object, that is then ready to be 3D printed
"	"The main use for AI I have gleamed from my process is the ability to rapidly create 2D renderings/ideas for token genres. I will typically create a ""line"", like a series, of tokens that follow the same aesthetical style and I have created in Gemini a variety of system prompts, like one for generating prompts of aesthetical styles, and one for generating images from those prompts that meets the typical standards and aesthetics of a token that I need. So as of now, it is mostly in the ideation portion of my creative process.
"	"Take for example my latest series, ""The Rising Sun"" - AI assisted in the ability to quickly create prototypes of each [REDACTED] the speed from which I have a 2D image that I can then take through the workflow to make 3D. In most ways, AI functions as an efficiency tool, speeding up the first ""third"" of the workflow if you will, the prototyping portion mostly. It feels nice to be able to quickly get from an idea to a physical product within two hours say.
"
15	creativity_0015	Art, design, crafts	1	I do a variety of creative work. I am se	"That sounds great, Claude - go ahead!
"	"I work in two creative fields: writing and illustration. I write short stories, primarily, but also poetry. Currently, I am working on a collection of short stories for a book that I am writing. It involves brainstorming, research, and lots of editing. I also sell digital artwork and invitations, using illustrations and media created through various design interfaces. Much of my time is spent refining designs and sourcing/creating images.
"	"For my written work, I will often use AI as a sounding board, to help brainstorm ideas, and as a superficial editor. I don't rely on it for the overall editing process, which I prefer to do myself, but I look to it as a first-check. For the art that I sell, I often employ generative AI imaging services (such as Midjourney) and combine it with details I craft. I also use AI to help in the creation of image prompts and for brainstorming more generally.
"	"Yes, that's right! I most recently used AI to help in the research of my written work, specifically the history of spinsters, as the short stories I am writing are related to how women exist in the world independently from men and marriage. The AI was very helpful in pulling from several sources and finding unique perspectives that I might otherwise not have found on my own. It allowed me to focus more on the written aspect than the research.
"
16	creativity_0016	Content writing	2	I work on writing research style blogs t	"Sounds good! Let's begin!
"	"I am a board game designer. I am also a creative writer, focusing on poetry, short fiction, and personal narrative essays.
"	"For board game design, I use AI to help me create layouts for prototype components like cards, player boards, and shared boards. I also use AI to help create concept placeholder art for the prototyping and Playtesting stages of the design. For my creating writing, I use AI for proofreading and editing.
"	"Sure, I recently attended a board game design convention where participants played each other's games. I used AI to help create a placeholder cover for my game - something eye-catching that helped visually represent what the game was about and attract players to my table. This actually wound up taking quite a bit of time because the AI had difficulty with certain parameters like layering text on an image. This was frustrating and I wound up using AI to create the representative image while creating the text myself.
"
17	creativity_0017	Fiction writing	0	I'm a writer, primarily of science ficti	"Nope, go ahead.
"	"I write a lot in my own time and have finished a few (unpublished) books. I write mainly fantasy, but with a heavy focus on plot and character (often politics and intrigue), little to no magic and a preference for keeping things physically and logically plausible despite the plot occurring in a fictional world. This results in having to keep track of lots of practical details like the amount of time it takes to travel between places, probable weather conditions, the progression of moon phases, etc., as well as having to research topics I'm not familiar with to make sure I'm representing them with sufficient accuracy. I also run a Dungeons & Dragons homebrew campaign every couple of weeks, which involves a lot of worldbuilding and keeping track of characters and plot events my party has encountered.
"	"Generally for research purposes. Since I started using AI tools several months ago, I mainly use them for exploring topics I'm not familiar with. Often, an internet search for the kind of obscure questions I come up with requires multiple tweaks to get the search engine to understand what I'm going for and provide relevant links, then browsing multiple pages to get the answer I'm looking for.
In the past few months, a few of the things I've used AI tools to research are the Coriolis effect (working out the likely movement of storm systems off a particular coast), binary star systems (assessing the possibility and possible configurations of livable planets orbiting a star in such a system) and properties of iron vs. steel and the history of creating steel (determining whether a weapon bind in a fight could create sparks).
"	"The most recent was the sparking-weapons one. I asked generally about what kinds of metal create sparks when struck, then gave details about the specific weapon bind (a character crossing two shorter weapons, one made of silver, to block a downward swing from a big sword) and asked whether that kind of contact could create sparks if the two unspecified weapons were made of the right material. Then I asked for more information about the history of steelmaking to gauge whether the kind of high-carbon steel necessary to create sparks would be likely to exist commonly in that world, given where it is technologically (though I didn't provide any details about that). Finally I briefly asked whether the description I had written of the effect (""burst of sparks"") realistically captured the amount of sparks that might be created.
It didn't really influence what I wrote. If I had learned that it was unlikely sparks could be created by the weapons involved in the fight, I would have edited out the reference to sparks, but I essentially learned that I didn't need to change everything. At the end, I felt satisfied that what I had written was realistic.
"
18	creativity_0018	Audiovisual	4	I'm a musician, so my projects range fro	"No, I understand.
"	"I'm a musician, I compose music and mix the audio. I use logic pro x as my DAW and things like native instruments plugins for the instruments. A typical project isn't always the same every time, but usually involves writing music for a game. If there is anything like a game ad/trailer video, then I usually treat that like scoring to picture.
"	"The 2 ai plugins I use are scaler and orb producer. Unfortunately there are no good ai plugins that I have found for use in the entire creation process, but I've found that these 2 are pretty good for brainstorming. Scaler is for chord progressions, and orb producer generates rough musical ideas that are good for building off of. I don't always use them in every project, but they are helpful for when writers block hits!
"	"I couldn't come up with a progression I liked myself, so I used scaler. It has presets the user can scale through, but can also suggest chords. Using the suggest feature in the sketch menu, I did end up finding something I liked after using it for a few minutes. I try not to rely on these features all the time so I don't get used to not having to do it myself, but it is nice to have the option when I need it.
"
19	creativity_0019	Art, design, crafts	1	I do a variety of creative work. I am se	"Hi, sounds good! Let's get started.
"	"Well I'm a Graphic Designer, there are multiple different projects depending on the day. I've created many powerpoint templates for my job, worked on logos, and generally just try to keep the brand image consistent throughout different types of media.
"	"So typically I find myself asking for help when it comes to brainstorming. I'll have a general idea of what I want to do, but look to AI to see if there are any possible enhancements. I'll also sometimes find myself using it to sort of check my work. I'll feed it my ideas and see if there is anything I'm overlooking. Generally if I'm really stuck somewhere I might use it as inspiration to move forward in the project in a way I hadn't previously thought of.
"	"Yeah, as far as using it for brainstorming or a soundboard, I feel as though the work would come off as inauthentic if I used it for any of the actual design execution. It feels as there would be a sense of plagiarism and AI created art rather than human design. A recent project that comes to mind was dealing with the creation of a logo for a client. I had several mock up designs and wanted to figure out how to best match the brand identity. Asking Ai how switching certain color palettes might shift brand perception and creating a dialogue, asking it questions such as if a minimalist approach could have the same impact as serif-forward direction in the emotional aspects of the design. It felt like discussing the project with a well educated coworker.
"
20	creativity_0020	Art, design, crafts	1	I do a variety of creative work. I am se	"Nope, let's go!
"	"I'm a generalist creative, so I do photography, photoshop/compositing, art direction, graphic design etc.
"	"AI has been most useful in handling my admin tasks, like keeping track of client info, responding to emails etc. I use Photoshops AI denoise, and occasionally Generative Fill in my photography work. I've also used Firefly and Stable Diffusion to iterate on initial concepts for illustration jobs.
"	"For the above illustration project, I had to produce a large suite of variations of a basic design. AI allowed me to easily and quickly iterate on my base illustration into a multitude of new versions. It worked well for this particular project.
I completed my base illustration by using a hand drawn image that was modified in Firefly, iterated on, then redrawn again by hand. Next, this finalised base illustration was turned into many aesthetic variations in Stable Diffusion
"
