lemma,noun_roles_top,head_verbs_top,amod_top,compound_top,examples
process,obj:58 | obl:57 | nmod:44 | nsubj:25 | root:4 | conj:4 | acl:relcl:2 | xcomp:2 | nsubj:pass:1 | ccomp:1 | csubj:1 | obl:agent:1,make:12 | use:10 | enjoy:5 | go:5 | continue:5 | change:5 | involve:4 | start:4 | take:4 | help:4 | drive:3 | become:3,creative:34 | entire:6 | own:4 | actual:4 | same:3 | whole:2 | collaborative:2 | slow:1 | expensive:1 | artistic:1 | overall:1 | unique:1,writing:7 | editing:6 | design:5 | creation:4 | brainstorming:4 | thought:4 | development:2 | recording:2 | filming:1 | refinement:1 | thumbnail:1 | sketching:1,"Anyway — brainstorming is and ideation is really just a process of bouncing my ideas off a peer . || One of the most concerning things I 've seen is new AI plugins that will assist you in the creative process by actually writing song parts . || I am developing my own choreography style , which is a slow process . || This involves being across the entire filming process from start to finish , including hiring other creatives like camera people , costume designers , set designers , writers and editors ."
tool,obj:74 | obl:50 | nsubj:20 | nmod:18 | root:11 | conj:5 | nsubj:pass:4 | ccomp:4 | xcomp:3 | appos:2 | obl:agent:1 | advcl:1,use:53 | see:9 | have:5 | reach:4 | make:4 | be:4 | think:3 | become:3 | find:3 | rely:2 | ask:2 | give:2,useful:6 | more:4 | new:4 | many:4 | different:2 | special:2 | great:2 | helpful:2 | advanced:1 | mainstream:1 | integrate:1 | augment:1,AI:71 | editing:2 | audio:2 | efficiency:1 | reality:1 | productivity:1 | party:1 | search:1 | feedback:1 | engine:1 | organising:1 | Music:1,"I use AI tools for brainstorming , asking quick questions about technique and theory , general admin , copywriting , emails / comms , and also business planning . || Hopefully we see more advanced tools for technical tasks ! || I find myself increasingly reaching for AI tools , especially as time goes on and its capabilities continue to improve . || I use AI tools every week to help me build out the basic structure of my classes , including , but not limited to , barre warmups , stretching sessions , across the floor and center exercises , music choices , and integration of practiced steps into choreography ."
lot,obj:99 | obl:unmarked:30 | nsubj:30 | obl:14 | conj:4 | nsubj:pass:3 | nmod:3 | appos:2 | root:1 | parataxis:1 | ccomp:1,be:16 | spend:9 | have:9 | save:8 | take:8 | do:7 | require:7 | use:6 | help:6 | generate:5 | see:5 | write:4,whole:4 | -decent:1,,"I 'm honestly doing a lot my "" bucket filling "" ( that 's what a mentor calls it ) . || ChatGPT already knows a lot about my projects and artist aesthetic , so it can use that info too . || It 's kind of an "" ill know it when I hear it "" thing , so I just want it to throw lots of ideas at the wall . || Well the music production space ( even pre -AI ) has become flooded with a lot of snake oil software products ."
way,obl:78 | obj:38 | obl:unmarked:20 | nsubj:13 | conj:6 | root:6 | nmod:5 | nsubj:outer:2 | acl:1 | ccomp:1 | acl:relcl:1,use:16 | find:12 | be:6 | change:5 | feel:5 | work:5 | suggest:4 | come:4 | take:4 | have:3 | do:3 | write:3,different:8 | same:5 | new:4 | easy:4 | only:3 | other:3 | interesting:3 | fashioned:2 | unique:2 | good:2 | long:1 | unethical:1,,"I probably spend less time brainstorming or procrastinating because it gets me started faster in that way . || I think it still has a long way to go before it 's useful for generating visual content . || In my experience , I do n't find that chatbot going out of its way to provide that type of insight . || In a way , I tend to think of the story as a sort of AU ( Alternate - Universe ) interpretation of my main projects , and that lets me explore potential scenarios , plotlines , and character arcs from different angles ."
character,nmod:36 | compound:33 | obj:25 | conj:19 | obl:12 | nsubj:8 | nmod:poss:5 | appos:3 | xcomp:1 | advcl:1 | acl:relcl:1 | root:1,have:5 | say:3 | ask:2 | base:2 | play:2 | develop:2 | take:1 | incorporate:1 | distinguish:1 | represent:1 | distort:1 | find:1,main:8 | particular:2 | support:2 | popular:2 | various:1 | dimensional:1 | real:1 | consistent:1 | single:1 | unique:1 | non-player:1 | different:1,background:2 | side:1 | player:1 | Disney:1 | D:1 | D&D:1 | show:1,"Likewise , I may occasionally ask my AI to take on a particular character to have a conversation about them , and then compare its interpretations to how I * feel * they would genuinely act . || I do tend to collaboratively write with AI , asking it to assume the role of a dungeon - master or character ( s ) while feeding it quite a bit of lore . || In a way , I tend to think of the story as a sort of AU ( Alternate - Universe ) interpretation of my main projects , and that lets me explore potential scenarios , plotlines , and character arcs from different angles . || So for this in particular I was asking the AI to assume the role of various characters , each with their own unique goals , each one of them a moving part in this little microcosm ."
design,compound:43 | obj:36 | conj:24 | nmod:19 | obl:17 | nsubj:4 | root:1 | xcomp:1,use:4 | make:4 | plan:3 | sketch:3 | put:3 | come:3 | take:2 | create:2 | have:2 | tell:2 | do:2 | refine:1,graphic:10 | human:2 | several:2 | mock:1 | basic:1 | ethical:1 | multiple:1 | flesh:1 | different:1 | similar:1 | set:1 | popular:1,sound:4 | game:3 | cover:3 | logo:3 | board:2 | shoe:2 | web:2 | screen:1 | costume:1 | 2nd:1 | token:1 | learning:1,"Depending on the project I and scope I do everything from sound design to recording but my main skill is composing . || They 're not currently advanced enough to be really useful for script writing , on screen graphic design , or other key creative elements . || They are very helpful for things like drafting memos or research into e.g. different eras of fashion for costume design , which frees up more time to focus on creative work . || I think it would be the same for more truly creative tasks like graphic design as well , but it 's harder to get the necessary level of control over AI produced images than it is for text ."
story,obj:44 | obl:31 | nmod:25 | compound:14 | conj:10 | nsubj:9 | nsubj:pass:2 | nmod:poss:2 | root:2 | parataxis:1 | appos:1,write:16 | create:4 | tell:4 | go:4 | give:2 | round:2 | explore:2 | do:2 | build:2 | work:2 | read:2 | make:2,short:14 | own:3 | whole:3 | entire:2 | meaningful:1 | impactful:1 | write:1 | stimulate:1 | related:1 | seamless:1 | actual:1 | base:1,AI:2 | writing:1 | fiction:1 | micro-:1 | horror:1 | background:1 | sci:1 | love:1 | freeform:1 | fantasy:1 | alien:1,"It also does n't have lived human experience to draw on to create meaningful , emotionally impactful stories . || In a way , I tend to think of the story as a sort of AU ( Alternate - Universe ) interpretation of my main projects , and that lets me explore potential scenarios , plotlines , and character arcs from different angles . || Up to now it 's been flash fiction and short stories , and I 've won awards for some of them . || In the field in general , I 'm super concerned about the use of AI to write stories and design book covers ."
example,obl:95 | nmod:15 | obj:10 | nsubj:7 | compound:4 | root:3 | nsubj:outer:1 | conj:1,have:13 | use:10 | ask:9 | give:8 | say:4 | be:4 | provide:3 | come:2 | write:2 | help:2 | discuss:2 | get:2,previous:1 | recent:1 | real:1 | above:1 | different:1 | specific:1 | perfect:1 | practical:1 | other:1 | friendly:1,world:2 | desk:1 | textbook:1 | character:1,"So for example - when songwriting , I 'm usually more instrument - first . || For example , I have an EP 's worth ( 4 tracks ) of instrumental electronic music . || For example , I can ask AI to make the combination more difficult or I can ask it to add more content / time to the across the floor section of class and take it away from the barre section . || Sometimes I have a very specific vibe of a character , yet because of my aphantasia , it can be hard for me to truly visualize them without an example of sorts ."
video,compound:42 | conj:23 | obj:20 | obl:20 | nmod:12 | nsubj:10 | root:4 | parataxis:1 | nsubj:pass:1 | appos:1,use:4 | make:3 | create:3 | generate:3 | do:2 | work:2 | get:2 | edit:2 | add:2 | have:2 | read:1 | need:1,own:3 | promotional:2 | generate:2 | recent:1 | short:1 | good:1 | blow:1 | photorealistic:1 | non-realistic:1 | base:1 | multiple:1 | exaggerate:1,music:4 | YouTube:3 | AI:3 | TikTok:2 | client:2 | promo:2 | form:1 | game:1 | ad:1 | trailer:1 | read:1 | editing:1,"That means I write music for film , tv , video artwork , installations , etc . || I came to this job with literally no prior knowledge besides having some of my own videos on TikTok go viral . || I find in my experience AI does n't pick up on the trends fast enough to make meaningful video ideas . || Most recently , I made a video targeted towards beginners ."
art,obj:34 | compound:30 | obl:21 | nmod:17 | nsubj:11 | conj:6 | xcomp:2 | advcl:2 | appos:2 | nsubj:pass:2 | root:1 | ccomp:1,make:11 | create:8 | use:6 | come:3 | do:3 | take:2 | see:2 | reproduce:2 | like:2 | value:2 | have:2 | become:1,true:4 | generate:4 | real:3 | human:3 | visual:3 | make:2 | more:2 | digital:2 | base:1 | fine:1 | prove:1 | martial:1,concept:7 | AI:5 | placeholder:2 | textile:2 | installation:1 | stage:1 | circus:1 | stock:1,"This is ok for finding a vibe , but again , I think taking * creative * direction from it is a mistake , because it robs the human creativity element that makes art interesting . || Dance is an art form that has been practiced since the dawn of time . || I would hate to see a time where the art of dance becomes too uniform or "" cookie cutter "" due to the influence and use of AI . || Likewise , as a result , I sometimes end up creating supplementary graphics , concept art , etc , while worldbuilding ."
research,obj:33 | obl:29 | compound:25 | conj:15 | nmod:13 | nsubj:11 | root:2 | appos:1,do:17 | use:8 | help:6 | focus:2 | make:2 | save:2 | assist:1 | rely:1 | involve:1 | start:1 | work:1 | kickstart:1,own:5 | deep:4 | extensive:2 | write:1 | visual:1 | more:1 | online:1 | archival:1 | preparatory:1 | further:1 | foundational:1 | actual:1,AI:3 | market:2 | art:1 | pre-writing:1 | writing:1 | state:1 | competitor:1 | material:1,"They are very helpful for things like drafting memos or research into e.g. different eras of fashion for costume design , which frees up more time to focus on creative work . || I do think that overall , AI will get * better * at the things that I 'm already using it to do — brainstorming , research , editing — and that will be a boon overall . || I also use AI to assist in my written visual arts research , and in crafting artist statements for exhibitions . || It involves brainstorming , research , and lots of editing ."
content,obj:43 | nmod:28 | compound:18 | obl:14 | conj:13 | nsubj:8 | nsubj:pass:3 | appos:1,create:16 | write:6 | generate:3 | work:3 | produce:2 | use:2 | get:2 | want:2 | copy:1 | undergoe:1 | add:1 | prepare:1,write:4 | other:4 | more:3 | generate:2 | cheap:2 | creative:2 | initial:1 | polished:1 | professional:1 | terrible:1 | low:1 | visual:1,video:4 | AI:3 | seo:2 | website:2 | media:2 | Instagram:2 | web:1 | quality:1 | filler:1 | stream:1 | training:1 | editing:1,"My creative work is largely centred on writing SEO web content and articles , which involves using keywords to produce content that will help websites rank in search results . || A typical project for me is a content request from a project manager , which will be for a specific client and requires a certain number of pages of content to be written . || I use it for everything from brainstorming topic ideas and page outlines through to feeding it prompts to generate content . || I also occasionally use it for proofreading and fact checking by copying in written content to check it ."
book,obj:50 | nmod:22 | obl:21 | compound:15 | conj:8 | nsubj:5 | root:2 | parataxis:1 | appos:1,write:15 | use:5 | churn:4 | read:3 | have:3 | want:3 | make:3 | finish:2 | sell:2 | produce:2 | illustrate:1 | drag:1,publish:3 | few:2 | physical:2 | other:2 | current:2 | whole:2 | more:2 | write:2 | own:2 | successful:2 | first:2 | unpublished:1,picture:3 | history:2 | activity:2 | coloring:2 | design:1 | author:1 | AI:1 | form:1 | fit:1 | writing:1 | horror:1 | reference:1,"Currently I 'm working on illustrating two different children 's books . || Another project I used it for was to help design a book cover layout that I was pressed for time to illustrate . || In the field in general , I 'm super concerned about the use of AI to write stories and design book covers . || But it wo n't have the deeper nuances that only a human can weave throughout the story - the slow burn emotional response a reader might feel from reading a book by an accomplished author ."
question,obj:60 | root:16 | obl:11 | nsubj:7 | conj:4 | nmod:4 | parataxis:3 | ccomp:2 | nsubj:pass:1 | dislocated:1 | iobj:1,ask:26 | have:20 | answer:13 | let:4 | sound:3 | begin:3 | think:2 | include:1 | find:1 | claude:1 | follow:1 | understand:1,quick:2 | difficult:2 | more:2 | precise:2 | obscure:1 | multiple:1 | first:1 | several:1 | specific:1 | base:1 | other:1 | last:1,troubleshooting:1 | workflow:1 | choice:1 | follow:1 | biology:1 | Chat:1 | gpt:1 | knitting:1 | roundabout:1,"I think I 'm good for questions . || I use AI tools for brainstorming , asking quick questions about technique and theory , general admin , copywriting , emails / comms , and also business planning . || I 'm using it mostly for brainstorming out of creative blocks , and for troubleshooting or techy workflow questions . || I do n't have any questions"
writer,root:18 | nsubj:15 | obj:13 | obl:13 | conj:9 | nmod:poss:9 | nmod:8 | xcomp:5 | acl:relcl:2 | nsubj:pass:2 | advcl:1 | compound:1,use:4 | make:3 | block:2 | need:2 | pay:2 | replace:2 | write:2 | employ:1 | bounce:1 | pride:1 | require:1 | suppose:1,good:6 | human:5 | creative:3 | freelance:3 | most:2 | many:2 | talented:1 | great:1 | terrible:1 | idiosyncratic:1 | indie:1 | other:1,content:2 | ghost:1 | assistant:1 | minority:1 | blog:1 | TV:1 | copy:1 | non-fiction:1 | level:1 | hobbyist:1,"I also manage a small team of writers and need to regularly give updates to my manager . || This involves being across the entire filming process from start to finish , including hiring other creatives like camera people , costume designers , set designers , writers and editors . || I 'm an artist and a writer with a PhD in Visual Arts . || One thing I will never use AI for is getting it to write or re-write a section of text for me as that 's no better than employing a ghost writer and I 'd feel a fraud ."
client,obl:27 | nsubj:20 | nmod:18 | compound:15 | obj:9 | nmod:poss:4 | iobj:4 | acl:relcl:1 | advcl:1 | conj:1,have:5 | work:3 | get:3 | give:3 | want:3 | write:2 | send:2 | communicate:2 | show:2 | involve:1 | desire:1 | produce:1,potential:2 | specific:1 | legal:1 | professional:1 | prospective:1 | possible:1 | different:1 | various:1 | regular:1 | more:1 | graphic:1,design:1,"This was n't a client project but I 've been using AI to critically analyse film scores . || I work with clients to record and mix their original music . || I also am currently working with a client who likes to use AI for songwriting , musically . || A typical project for me is a content request from a project manager , which will be for a specific client and requires a certain number of pages of content to be written ."
editing,conj:26 | compound:25 | nmod:14 | obl:13 | obj:6 | nsubj:3 | vocative:1 | appos:1 | advcl:1 | root:1,use:5 | do:3 | edit:1 | brainstorm:1 | be:1 | have:1 | rely:1 | help:1 | automate:1 | draft:1 | spit:1 | select:1,further:2 | traditional:1 | non-linear:1 | substantial:1 | own:1 | more:1 | new:1,photo:6 | image:4 | audio:2 | video:1 | line:1 | grammar:1 | experience:1 | light:1,"Specifically the fields of editing and writing seem to be the most at risk . || It has created a ton of efficiency for me so I can focus on my favorite aspects of the job ( filming and editing ) || Some of it is simple as editing , however , my main writing projects typically take the form of a choose - your - own - adventure gamebook . || I do think that overall , AI will get * better * at the things that I 'm already using it to do — brainstorming , research , editing — and that will be a boon overall ."
part,obj:30 | obl:23 | conj:6 | root:6 | acl:relcl:5 | nmod:5 | nsubj:5 | xcomp:3 | ccomp:2 | advcl:2 | compound:2 | parataxis:1,use:5 | do:4 | handle:3 | write:2 | automate:2 | give:2 | take:2 | play:1 | generate:1 | think:1 | spend:1 | develop:1,creative:8 | most:7 | fun:3 | certain:3 | huge:2 | actual:2 | hard:2 | important:2 | move:1 | miss:1 | permanent:1 | therapeutic:1,song:1 | writing:1 | filming:1 | thinking:1,"One of the most concerning things I 've seen is new AI plugins that will assist you in the creative process by actually writing song parts . || To be honest I find that AI tools are most useful for automating admin tasks , rather than as part of the creative process . || I imagine that if a human VFX designer could use AI tools to automate some parts of the process , it could save a lot of time and money in what is currently an expensive and time consuming process , allowing us to create more realistic looking and exciting visual effects quicker and for less money . || I think AI will playing a huge part in creating and sustaining engagement for sure ."
artist,obl:16 | nsubj:14 | nmod:12 | obj:12 | compound:9 | root:8 | nmod:poss:5 | conj:4 | advcl:3 | nsubj:pass:2 | parataxis:1 | acl:1,replace:4 | take:3 | hire:3 | have:3 | work:2 | use:2 | feel:2 | sound:1 | call:1 | sell:1 | disincentivize:1 | pay:1,many:6 | other:3 | human:3 | digital:2 | true:2 | visual:2 | professional:2 | note:1 | good:1 | actual:1 | serious:1 | popular:1,commission:1 | fantasy:1 | character:1 | 3d:1 | D:1 | tattoo:1,"ChatGPT already knows a lot about my projects and artist aesthetic , so it can use that info too . || Spotify has already flooded their editorial playlists with "" fake "" artist profiles , taking away streams from real music that someone slaved over . || While there is the counter - movement and support for artists who still work from hand , there are also people who simply want to be able to have an image . || I 'm an artist and a writer with a PhD in Visual Arts ."
job,obj:41 | nsubj:13 | obl:11 | nmod:11 | compound:5 | acl:relcl:3 | nsubj:outer:3 | conj:2,do:14 | take:9 | lose:4 | have:3 | exist:2 | get:2 | be:2 | create:2 | go:2 | see:1 | come:1 | involve:1,good:4 | great:4 | first:2 | many:2 | few:2 | more:1 | decent:1 | main:1 | previous:1 | whole:1 | important:1 | quick:1,side:1 | color:1 | editing:1 | illustration:1 | level:1 | copywriting:1 | photography:1,"My main concern is that one day my job might not exist if AI continues to improve and no longer needs human oversight , as it currently does . || I can also see my job changing to be more of a prompt engineer rather than an SEO copywriter || I need to do a better job at navigating it myself . || I know people are concerned that it will take jobs away from freelancers eventually ."
etc.,conj:86,write:2 | do:1 | finish:1 | have:1 | brainstorm:1 | feel:1,,,"That means I write music for film , tv , video artwork , installations , etc . || I am very specific in my prompts about what I want as far as style , difficulty level , etc . || A task like that is n't really creative , but I as the person using the tool to draft the letter would be in charge of the decisions on how it should be written , structured , etc . || Likewise , as a result , I sometimes end up creating supplementary graphics , concept art , etc , while worldbuilding ."
style,obj:28 | conj:16 | obl:11 | nmod:8 | compound:6 | nsubj:5 | nsubj:pass:2 | parataxis:2 | appos:1 | acl:relcl:1,have:4 | use:3 | replicate:2 | develop:1 | learn:1 | figure:1 | come:1 | stay:1 | find:1 | follow:1 | know:1 | shift:1,different:3 | certain:3 | own:2 | aesthetical:2 | distinctive:2 | particular:2 | choreographic:1 | old:1 | inky:1 | exact:1 | draw:1 | antique:1,writing:4 | choreography:2 | painting:1 | ghibli:1 | thumbnail:1 | cartoon:1 | dive:1 | noir:1 | studio:1 | font:1,"I make sure all content undergoes multiple human checks , not only to ensure there are no hallucinations , but also to check for any issues with tone and style . || The lesson plans need to be specific to those styles , the level of the students , and ( at times ) the theme of the week . || This means that I create a short piece of chorography in each of the styles that are tailored to the students ' level , the choreographic style I 'm going for , and sometimes other factors such as the time of year . || I am developing my own choreography style , which is a slow process ."
decision,obj:46 | nmod:14 | compound:7 | nsubj:6 | obl:3 | nsubj:pass:2 | obl:agent:1 | conj:1,drive:32 | make:13 | decide:1 | help:1 | retain:1 | constrain:1 | assist:1 | inform:1 | come:1 | question:1 | prompt:1,creative:44 | final:2 | create:1 | only:1 | overall:1 | financial:1 | Creative:1 | right:1,design:1 | acting:1,"I also make sure the prompt I start with has as much information fed into it as possible , which means ultimately I 'm driving the creative decisions and simply getting AI to do what I want it to || I 'd like to think that I am driving the create decisions . || A task like that is n't really creative , but I as the person using the tool to draft the letter would be in charge of the decisions on how it should be written , structured , etc . || Even using larger , more intelligent models , there 's rarely a point where I 've really felt like the AI is driving the creative decision - making ."
information,obj:40 | nmod:18 | obl:8 | conj:7 | nsubj:3 | compound:2 | nsubj:outer:1,present:4 | use:4 | have:3 | ask:3 | put:3 | find:2 | want:2 | take:2 | extract:2 | process:2 | contain:2 | forget:1,much:4 | more:4 | accurate:2 | general:1 | basic:1 | same:1 | available:1 | new:1 | incorrect:1 | organize:1 | relevant:1 | unneccessary:1,significance:1,"I also make sure the prompt I start with has as much information fed into it as possible , which means ultimately I 'm driving the creative decisions and simply getting AI to do what I want it to || The AI would forget some information in the lore , or it would misinterpret something said in the main body of text . || Then I asked for more information about the history of steelmaking to gauge whether the kind of high - carbon steel necessary to create sparks would be likely to exist commonly in that world , given where it is technologically ( though I did n't provide any details about that ) . || I use it to save time when finding information I need for realism , not to help with purely creative decisions ."
