lemma,subjects_top,objects_top,xcomp_top,ccomp_top,obl_top,examples
want,I:183 | they:9 | who:8 | you:7 | person:4 | he:3 | we:3 | that:3 | author:2 | client:2 | relative:1 | developer:1,it:22 | AI:7 | that:6 | something:4 | I:3 | they:3 | book:3 | work:2 | brand:2 | information:2 | name:1 | vibe:1,make:9 | use:8 | look:7 | see:7 | change:5 | write:5 | do:5 | go:5 | able:4 | keep:4 | include:4 | to:4,,instance:2 | trailor:1 | term:1 | life:1 | it:1 | content:1 | tool:1 | first:1 | purpose:1 | year:1 | class:1,"I had placeholder names for the projects , but I wanted to change a few of them . || I have a very specific idea of what I wanted the song names to evoke . || It 's kind of an "" ill know it when I hear it "" thing , so I just want it to throw lots of ideas at the wall . || I also make sure the prompt I start with has as much information fed into it as possible , which means ultimately I 'm driving the creative decisions and simply getting AI to do what I want it to"
work,I:105 | it:17 | that:9 | AI:5 | who:4 | we:3 | they:2 | model:2 | job:1 | collaboration:1 | concept:1 | process:1,that:3 | way:2 | movement:1 | this:1 | it:1 | tax:1,good:1 | continue:1 | hard:1 | great:1 | create:1,,on:19 | project:11 | with:10 | AI:9 | it:8 | that:5 | novel:5 | I:5 | home:4 | client:3 | business:3 | content:3,"I work with clients to record and mix their original music . || That is , it works best for me to write full instrumentals in the DAW first , then add lyrics . || I also am currently working with a client who likes to use AI for songwriting , musically . || I work in production management for high end TV and film ."
ask,I:126 | model:2 | they:2 | you:2 | it:2 | that:1 | who:1 | person:1 | ChatGPT:1 | example:1 | collaboration:1 | we:1,it:46 | AI:42 | question:26 | model:16 | I:4 | what:3 | how:3 | tool:2 | llm:2 | Gemini:2 | program:1 | part:1,generate:11 | create:8 | write:7 | give:6 | make:6 | provide:6 | help:4 | come:3 | assume:2 | change:2 | identify:2 | add:1,what:3 | create:2 | think:2 | improve:2 | work:2 | be:2 | start:1 | want:1 | have:1 | capture:1 | worthwhile:1 | problematic:1,help:10 | example:8 | feedback:7 | list:6 | idea:5 | information:3 | how:3 | version:2 | advice:2 | for:2 | suggestion:2 | conversion:2,"I use AI tools for brainstorming , asking quick questions about technique and theory , general admin , copywriting , emails / comms , and also business planning . || Basically I 've been asking AI to help write out an essay on something like the film Arrival and what made the score by Johannsson so unique . || Sometimes , when it comes time to add lyrics , I 'll ask ChatGPT or Claude for lists of interesting word pairings . || I also like to ask AI to give me ideas for things that I can teach my students about dance history"
take,I:41 | it:38 | that:17 | AI:15 | which:5 | this:4 | project:3 | writing:3 | who:2 | scene:2 | we:2 | commission:1,time:14 | it:10 | job:8 | lot:8 | work:8 | I:8 | place:7 | hour:6 | bit:5 | care:5 | that:5 | idea:5,easy:1 | travel:1 | long:1 | suggest:1 | write:1 | do:1 | look:1 | read:1,photoshopp:1 | take:1,it:4 | I:3 | there:2 | point:2 | that:2 | art:2 | AI:2 | process:2 | way:2 | idea:2 | artist:2 | blender:2,"Take it easy ! || This is ok for finding a vibe , but again , I think taking * creative * direction from it is a mistake , because it robs the human creativity element that makes art interesting . || Spotify has already flooded their editorial playlists with "" fake "" artist profiles , taking away streams from real music that someone slaved over . || Planning so many classes each week takes so much time , which I do not get paid for ( I only get paid for in - person instruction ) ."
see,I:118 | we:8 | you:3 | they:1 | who:1 | it:1 | user:1 | another:1 | person:1 | this:1 | he:1,it:28 | myself:18 | AI:13 | that:7 | this:5 | lot:5 | what:5 | tool:3 | role:3 | person:3 | possibility:3 | image:3,use:12 | change:6 | get:3 | happen:3 | become:2 | expand:2 | able:2 | do:2 | take:2 | evolve:2 | continue:2 | criticize:1,be:5 | become:3 | help:2 | look:2 | create:2 | evolve:1 | cheap:1 | saturate:1 | connect:1 | happy:1 | unblock:1 | take:1,tool:6 | term:2 | demo:1 | life:1 | moment:1 | I:1 | bit:1 | different:1 | detail:1 | protagonist:1 | case:1 | prompt:1,"Many of my projects have been full productions - so , seeing the record through from demo to recording to mixing . || One of the most concerning things I 've seen is new AI plugins that will assist you in the creative process by actually writing song parts . || Hopefully we see more advanced tools for technical tasks ! || I have n't seen any AI drum editors / quantizers , or vocal editors , but that seems like it should be possible , too ."
give,I:33 | it:27 | AI:12 | that:9 | model:7 | this:4 | image:2 | author:1 | he:1 | tool:1 | Gemini:1 | which:1,I:98 | idea:26 | it:13 | suggestion:9 | AI:6 | example:5 | point:4 | feedback:4 | instruction:4 | they:4 | depth:3 | answer:3,animate:1 | start:1 | move:1 | have:1 | pause:1,opinion:1 | important:1,example:3 | project:2 | ChatGPT:2 | time:2 | manager:1 | thing:1 | what:1 | background:1 | how:1 | they:1 | Sora:1 | sora:1,"I also manage a small team of writers and need to regularly give updates to my manager . || Often I 'll get AI to do the heavy lifting of writing the initial content , then I 'll "" tidy up "" , making edits to give a more human feel and remove any typical AI phrases or giveaways . || I also like to ask AI to give me ideas for things that I can teach my students about dance history || If I feel that the AI model is getting off track or giving me ideas that are far off from what I am envisioning , I will redirect the model or ask if we can start over ."
go,I:50 | that:11 | we:9 | it:8 | they:4 | AI:4 | you:3 | same:3 | player:3 | time:2 | job:2 | quality:2,that:2 | which:1 | bye:1 | route:1 | line:1 | way:1 | approach:1,make:3 | have:2 | end:2 | use:2 | do:2 | see:1 | send:1 | viral:1 | honest:1 | beat:1 | enter:1 | tamper:1,,process:5 | AI:4 | direction:4 | it:3 | story:3 | for:2 | that:2 | day:2 | model:2 | draft:2 | point:2 | step:2,"We went through a few rounds of lists , but I ended up with 4 that I 'm happy with || Oh , unfortunately we 're going to see more fully AI - generated music , too . || I find myself increasingly reaching for AI tools , especially as time goes on and its capabilities continue to improve . || I 've gone from being able to produce 2000 words of polished , professional content to well over 5000 words each day"
come,it:37 | I:29 | AI:11 | that:8 | model:3 | person:2 | eye:1 | someone:1 | work:1 | Habakkuk:1 | Gemini:1 | side:1,that:3 | time:1 | idea:1 | same:1,light:1 | realise:1 | realistic:1 | good:1 | useful:1 | help:1 | work:1,need:1 | see:1,idea:39 | with:10 | mind:5 | from:5 | name:5 | it:5 | thing:4 | I:4 | way:4 | something:3 | caption:3 | art:3,"With an overseas move coming up though , I wo n't have the same access to my current home studio , so I 'm hoping to move towards doing more mixing projects , exclusively . || Sometimes , when it comes time to add lyrics , I 'll ask ChatGPT or Claude for lists of interesting word pairings . || That 's all that comes to mind for now . || Occasionally I 'll also reach for AI when I have to do a presentation and need help coming up with ideas and structuring the presentation ."
find,I:113 | we:4 | person:3 | who:2 | you:1 | company:1 | character:1 | tool:1 | chatbot:1 | actor:1 | publisher:1 | it:1,myself:21 | way:11 | it:10 | that:8 | image:6 | AI:5 | what:5 | one:4 | word:4 | something:3 | which:3 | model:2,useful:8 | use:7 | helpful:5 | easy:4 | reach:2 | ask:2 | surprise:1 | creative:1 | point:1 | frustrating:1 | look:1 | much:1,need:2 | struggle:2 | change:2 | get:2 | creative:1 | useful:1 | pick:1 | say:1 | replace:1 | tap:1 | help:1 | write:1,experience:2 | idea:2 | it:2 | AI:2 | website:1 | pose:1 | map:1 | question:1 | own:1 | use:1 | process:1 | pro:1,"Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea . || This is ok for finding a vibe , but again , I think taking * creative * direction from it is a mistake , because it robs the human creativity element that makes art interesting . || I find myself increasingly reaching for AI tools , especially as time goes on and its capabilities continue to improve . || I was finding different dance syllabi on different websites and synthesizing them into ones that I would use for class ."
need,I:100 | it:11 | we:9 | that:8 | you:6 | they:3 | this:3 | what:2 | writing:2 | plan:1 | AI:1 | video:1,help:15 | that:7 | it:6 | work:2 | voice:2 | mockup:2 | oversight:1 | refinement:1 | idea:1 | writer:1 | person:1 | lot:1,do:8 | make:5 | figure:4 | write:3 | specific:3 | look:3 | add:3 | change:2 | help:2 | be:2 | fit:2 | know:2,,project:3 | image:3 | example:2 | realism:1 | purpose:1 | past:1 | time:1 | script:1 | cover:1 | AI:1 | scene:1 | end:1,"I also manage a small team of writers and need to regularly give updates to my manager . || Occasionally I 'll also reach for AI when I have to do a presentation and need help coming up with ideas and structuring the presentation . || I needed to write 12 pages of content for a legal client . || My main concern is that one day my job might not exist if AI continues to improve and no longer needs human oversight , as it currently does ."
generate,it:8 | AI:6 | I:6 | that:3 | lot:3 | they:2 | model:2 | hashtag:1 | producer:1 | error:1 | you:1 | computer:1,image:22 | idea:13 | something:6 | music:4 | content:3 | what:3 | list:3 | material:3 | asset:3 | caption:2 | piece:2 | statement:2,take:1,,second:3 | conversation:3 | AI:2 | I:2 | input:2 | comm:1 | time:1 | stage:1 | note:1 | page:1 | platform:1 | video:1,"I also am pretty concerned about how AI generated music might impact streaming platform saturation . || The other thing that concerns me is how VOD streaming platforms might leverage AI tech along with their publishing libraries infinitely generate new music . || Oh , unfortunately we 're going to see more fully AI - generated music , too . || I use it for everything from brainstorming topic ideas and page outlines through to feeding it prompts to generate content ."
be,it:15 | lot:15 | person:8 | I:7 | way:6 | time:5 | number:4 | concern:4 | tool:4 | something:4 | that:3 | anything:3,which:1 | that:1,creative:1 | tell:1,sound:1,example:3 | text:1 | term:1 | photo:1 | case:1 | thing:1 | day:1 | Moonlight:1 | while:1 | person:1 | quarter:1 | AI:1,"There 's themes , but little to no lyrics . || I make sure all content undergoes multiple human checks , not only to ensure there are no hallucinations , but also to check for any issues with tone and style . || There is no HR department on film or TV productions usually so those tasks fall to the production management team who are not necessarily HR experts , so it 's helpful to use AI to draft something that has the right tone . || That being said , it could be used to create lower quality "" filler "" content based on what the algorithms show is popular , which would still take jobs away from people since there is a lot of that type of streaming content being created these days ."
look,I:44 | it:13 | that:7 | they:6 | you:5 | image:2 | process:2 | this:2 | seo:1 | painting:1 | perspective:1 | what:1,what:4 | that:2 | thing:1 | AI:1 | same:1 | paper:1 | point:1 | something:1 | anything:1 | rule:1 | tone:1,good:9 | realistic:2 | bad:2 | perfect:2 | cool:2 | seamless:2 | appealing:2 | painterly:1 | natural:1 | pleasing:1 | weird:1 | generate:1,,for:15 | like:11 | it:4 | angle:3 | way:3 | image:2 | AI:2 | thing:2 | piece:2 | at:2 | this:2 | work:2,"A secondary concern is that this could result in a lot of terrible AI content being produced , changing what SEO looks like || Often , like I said previously , is I really just start spit balling out what I 'm looking for in a caption . || I already find that AI can write better than the majority of people I know , which is great from the perspective of looking for a collaborative storyteller to simply toss ideas back and forth with , however , I also wonder if that 's feeding into the ongoing existential crisis of loneliness , if humans are becoming less authentic , less emotionally - intelligent because they rely too heavily on these tools . || I used AI to generate images of what the paintings would look like finished ."
know,I:66 | you:11 | who:9 | it:7 | they:7 | person:4 | model:3 | designer:3 | we:2 | ChatGPT:1 | client:1 | member:1,how:13 | what:12 | thing:4 | it:3 | anything:3 | lot:2 | kind:1 | that:1 | difference:1 | life:1 | everything:1 | more:1,good:2 | expect:1 | pursue:1 | tailor:1 | produce:1 | focus:1 | transcribe:1 | accuse:1,say:4 | have:4 | good:3 | be:3 | use:3 | get:2 | do:2 | worried:2 | go:2 | what:2 | make:2 | actuate:1,example:2 | I:1 | process:1 | AI:1 | word:1 | far:1 | pantser:1 | how:1 | for:1 | opinion:1 | avatar:1 | way:1,"I do n't know if these have actuated in the work yet but I imagine it 's only a matter of time . || I actually do n't know . || ChatGPT already knows a lot about my projects and artist aesthetic , so it can use that info too . || It 's kind of an "" ill know it when I hear it "" thing , so I just want it to throw lots of ideas at the wall ."
say,I:68 | that:10 | AI:4 | you:4 | it:4 | character:3 | she:2 | they:2 | anybody:1 | contract:1 | other:1 | model:1,something:3 | it:3 | thing:2 | nothing:1 | line:1 | final:1 | setting:1 | there:1 | compilation:1 | science:1 | that:1 | mode:1,prompt:1 | focus:1 | translate:1 | use:1,drive:4 | want:4 | give:3 | change:2 | help:2 | be:2 | come:2 | create:2 | idea:2 | do:2 | force:2 | need:2,example:4 | Instagram:1 | body:1 | session:1 | gospel:1 | presentation:1 | something:1 | choice:1 | creator:1 | context:1 | someone:1 | her:1,"I would n't say anything has hugely changed since we started using it , except that it helps save a bit of time and energy on some tasks . || That being said , it could be used to create lower quality "" filler "" content based on what the algorithms show is popular , which would still take jobs away from people since there is a lot of that type of streaming content being created these days . || Often , like I said previously , is I really just start spit balling out what I 'm looking for in a caption . || I find that when a long caption is needed , say for an Instagram Reel like I needed here , it does excellent and hits it on the money every time ( Granted , I provide a lot of detail ."
start,I:42 | we:7 | it:6 | person:4 | project:3 | that:3 | AI:3 | you:2 | thing:2 | media:1 | style:1 | this:1,process:3 | project:3 | scene:2 | one:2 | conversation:2 | spit:1 | pack:1 | role:1 | block:1 | blog:1 | it:1 | business:1,use:7 | see:4 | write:3 | research:2 | look:2 | draw:2 | lose:2 | italicize:1 | ball:1 | sell:1 | do:1 | ideate:1,,idea:3 | with:2 | brainstorming:2 | way:1 | need:1 | startup:1 | question:1 | AI:1 | research:1 | entertainment:1 | invitation:1 | gathering:1,"I probably spend less time brainstorming or procrastinating because it gets me started faster in that way . || I also make sure the prompt I start with has as much information fed into it as possible , which means ultimately I 'm driving the creative decisions and simply getting AI to do what I want it to || If I feel that the AI model is getting off track or giving me ideas that are far off from what I am envisioning , I will redirect the model or ask if we can start over . || No , let 's get started"
try,I:54 | you:2 | person:2 | tool:2 | we:1 | who:1 | model:1 | AI:1 | that:1 | wife:1 | Firefly:1 | passage:1,it:4 | thing:3 | model:3 | take:1 | name:1 | video:1 | they:1 | what:1 | combination:1 | good:1 | approach:1 | llm:1,use:13 | do:8 | make:6 | find:5 | say:3 | fix:2 | capture:2 | keep:2 | let:2 | come:2 | create:2 | take:2,set:1,instrumental:1 | client:1 | role:1 | part:1 | scenario:1 | project:1 | fun:1 | occasion:1,"Sometimes it 's talking through creative blocks and trying to clarify my vision . || Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea . || We 've also tried using it for things like generating graphics for internal comms like event invitations , but it did n't work too well for that - I have n't found an AI model that 's capable of producing a document with both coherent text and strong images together yet . || Projects vary , as I 'm always trying new things , but we do have a consistent "" Student of the Week , "" segment I prepare for all content , including OptiSigns ."
sound,that:30 | it:6 | they:2 | version:1 | which:1 | part:1 | dialogue:1 | none:1 | this:1 | response:1,touch:1 | cutter:1,good:52 | great:22 | right:4 | fine:4 | human:3 | similar:2 | cliché:1 | explanatory:1 | same:1 | generic:1 | passable:1 | cliche:1,,I:13 | voice:2 | artist:1 | sibling:1 | brand:1 | author:1 | snob:1 | sense:1 | wizard:1 | point:1,"Sounds good . || Sounds good to me . || Sounds great ! || I really wanted that vibe to represent well in the caption , without sounding like I was making a sale , or being condescending ."
like,I:97 | we:4 | you:3 | who:1 | person:1 | it:1 | that:1 | weather:1 | client:1,that:4 | result:3 | idea:2 | something:1 | writing:1 | work:1 | tech:1 | it:1 | which:1 | AI:1 | book:1 | companion:1,use:14 | see:9 | think:7 | get:4 | take:3 | able:3 | add:2 | tell:2 | put:2 | keep:1 | ask:1 | record:1,land:1 | force:1,future:2 | art:2 | TikTok:1 | Cricut:1 | one:1 | setting:1 | I:1 | writing:1 | assistant:1,"Then I told it the 4 working track names , what I liked , and what I did n't . || I like to keep control of that , for sure . || I also am currently working with a client who likes to use AI for songwriting , musically . || I also like to ask AI to give me ideas for things that I can teach my students about dance history"
change,it:6 | that:5 | I:5 | this:4 | AI:4 | aspect:3 | what:3 | anything:2 | nothing:2 | approach:2 | work:1 | lot:1,much:5 | process:4 | color:4 | most:3 | word:3 | it:3 | what:2 | everything:2 | image:2 | few:1 | they:1 | colour:1,more:1 | focus:1,think:1 | publish:1,work:3 | I:3 | way:2 | year:2 | image:2 | media:1 | such:1 | sense:1 | %:1 | how:1 | whole:1 | something:1,"I had placeholder names for the projects , but I wanted to change a few of them . || A secondary concern is that this could result in a lot of terrible AI content being produced , changing what SEO looks like || I can also see my job changing to be more of a prompt engineer rather than an SEO copywriter || I would n't say anything has hugely changed since we started using it , except that it helps save a bit of time and energy on some tasks ."
tell,I:31 | it:10 | you:5 | AI:4 | time:1 | someone:1 | design:1 | who:1 | person:1 | something:1 | we:1 | author:1,I:22 | it:18 | AI:15 | what:10 | you:6 | story:4 | idea:3 | model:3 | name:2 | difference:2 | how:2 | thing:2,do:3 | write:2 | have:1 | think:1 | to:1 | ask:1 | edit:1,have:3 | write:3 | what:2 | cheesy:1 | place:1 | produce:1 | which:1 | need:1 | sell:1 | email:1 | go:1 | look:1,form:2 | example:2 | theme:1 | text:1 | instant:1 | minute:1 | Monday:1 | how:1 | year:1 | her:1,"So I told ChatGPT about the themes of the tracks , and a sonic description of each song . || Then I told it the 4 working track names , what I liked , and what I did n't . || I 'll just tell it its being cheesy for this or that reason and eventually we get there || Additionally , I would love ( and not be surprised ) if AI could eventually learn my choreography style and apply that to what it tells me ."
provide,I:21 | AI:8 | it:7 | they:3 | model:3 | that:1 | we:1 | this:1 | project:1 | use:1 | human:1,I:15 | feedback:7 | idea:6 | suggestion:5 | that:4 | lot:2 | description:2 | list:2 | material:2 | it:2 | image:2 | insight:2,,human:1,list:3 | example:2 | idea:2 | feedback:2 | term:1 | fact:1 | model:1 | person:1 | story:1 | such:1 | motivation:1 | option:1,"I find that when a long caption is needed , say for an Instagram Reel like I needed here , it does excellent and hits it on the money every time ( Granted , I provide a lot of detail . || In my experience , I do n't find that chatbot going out of its way to provide that type of insight . || I 've even delved into website creation , script treatments , and more based on what clients need and what I can provide . || Your assistant may gather the backdrops , adjust lighting , and provide props , and you do the final posing and click the shutter ."
become,AI:15 | it:8 | I:4 | person:2 | process:2 | model:2 | this:2 | that:2 | writing:2 | space:1 | art:1 | human:1,something:1,advanced:3 | easy:3 | flood:2 | refine:2 | sophisticated:2 | tool:2 | hard:2 | partner:2 | place:2 | integrate:2 | more:2 | capable:2,,influence:1 | AI:1 | feature:1 | year:1 | time:1 | way:1 | heart:1 | future:1,"Well the music production space ( even pre -AI ) has become flooded with a lot of snake oil software products . || I would hate to see a time where the art of dance becomes too uniform or "" cookie cutter "" due to the influence and use of AI . || The ultimate hope is that AI will become intelligent enough to help predict trends accurately . || I already find that AI can write better than the majority of people I know , which is great from the perspective of looking for a collaborative storyteller to simply toss ideas back and forth with , however , I also wonder if that 's feeding into the ongoing existential crisis of loneliness , if humans are becoming less authentic , less emotionally - intelligent because they rely too heavily on these tools ."
keep,I:14 | which:2 | it:1 | they:1 | that:1 | reader:1 | circumstance:1,track:10 | I:4 | it:4 | thing:3 | creativity:2 | AI:2 | control:1 | they:1 | person:1 | image:1 | my:1 | draft:1,use:3 | go:2 | honest:1 | plausible:1 | consistent:1 | organize:1 | think:1 | move:1 | write:1 | PG:1 | create:1 | open:1,have:1,mind:3 | of:2 | sure:1 | algorithm:1 | feature:1 | marketplace:1 | night:1 | plot:1 | type:1 | track:1 | how:1 | touch:1,"I like to keep control of that , for sure . || Having an engine to keep up with algorithms , feature changes , and trends to point those details in the right direction is helpful . || I still make sure the "" bones "" are authentically me , but being able to A/ B test or use an AI checklist to score my work keeps me honest and up with the times . || Before AI , I dedicated more time to researching what was changing with social media , keeping up with new features , etc ."
edit,I:18 | work:1 | project:1 | who:1 | we:1 | AI:1 | it:1 | statement:1,photo:4 | work:3 | manuscript:3 | it:3 | image:3 | video:2 | picture:2 | that:2 | film:2 | song:1 | plan:1 | spellcheck:1,,,program:1 | completion:1 | editing:1 | image:1 | other:1 | past:1 | someone:1 | source:1 | project:1 | client:1 | website:1 | style:1,"I spend hours upon hours manually drum editing each song . || Additionally , I am able to edit the lesson plans quickly and easily . || Personally , I incorporate AI a lot when it comes to editing my work — spellcheck and grammar , yes , but it 's nice to do some sentiment analysis and summaries so that I can make sure I 'm conveying what I intend to . || I use AI to generate photographic quality images which I go on to edit in a photo editing program such as Pixlr ."
