category,pos_group_cb,lemma,token_count
AI_USE,VERB,attempt,13
AI_USE,VERB,compare,13
AI_USE,VERB,expect,13
AI_USE,VERB,guess,13
AI_USE,VERB,push,13
AI_USE,VERB,adapt,12
AI_USE,VERB,affect,12
AI_USE,VERB,automate,12
AI_USE,VERB,paste,12
AI_USE,VERB,remember,12
AI_USE,VERB,accept,11
AI_USE,VERB,buy,11
AI_USE,VERB,maintain,11
AI_USE,VERB,seek,11
AI_USE,VERB,stand,11
AI_USE,VERB,apply,10
AI_USE,VERB,serve,10
AUTHORSHIP,NOUN,work,569
AUTHORSHIP,NOUN,image,264
AUTHORSHIP,NOUN,thing,264
AUTHORSHIP,NOUN,project,250
AUTHORSHIP,NOUN,person,244
AUTHORSHIP,NOUN,writing,237
AUTHORSHIP,NOUN,design,177
AUTHORSHIP,NOUN,human,154
AUTHORSHIP,NOUN,story,141
AUTHORSHIP,NOUN,art,134
AUTHORSHIP,NOUN,video,134
AUTHORSHIP,NOUN,content,128
AUTHORSHIP,NOUN,book,126
AUTHORSHIP,NOUN,part,92
AUTHORSHIP,NOUN,novel,79
AUTHORSHIP,NOUN,scene,71
AUTHORSHIP,NOUN,word,70
AUTHORSHIP,NOUN,music,69
AUTHORSHIP,NOUN,piece,64
AUTHORSHIP,NOUN,draft,62
AUTHORSHIP,NOUN,game,61
AUTHORSHIP,NOUN,product,61
AUTHORSHIP,NOUN,script,58
AUTHORSHIP,NOUN,world,58
AUTHORSHIP,NOUN,conversation,56
AUTHORSHIP,NOUN,article,50
AUTHORSHIP,NOUN,element,50
AUTHORSHIP,NOUN,field,50
AUTHORSHIP,NOUN,set,50
AUTHORSHIP,NOUN,film,49
AUTHORSHIP,NOUN,page,49
AUTHORSHIP,NOUN,kind,48
AUTHORSHIP,NOUN,post,48
AUTHORSHIP,NOUN,cover,47
AUTHORSHIP,NOUN,graphic,47
AUTHORSHIP,NOUN,text,47
AUTHORSHIP,NOUN,asset,45
AUTHORSHIP,NOUN,copy,45
AUTHORSHIP,NOUN,quality,45
AUTHORSHIP,NOUN,hand,44
AUTHORSHIP,NOUN,type,44
AUTHORSHIP,NOUN,photo,43
AUTHORSHIP,NOUN,stage,42
AUTHORSHIP,NOUN,website,42
AUTHORSHIP,NOUN,skill,41
AUTHORSHIP,NOUN,line,40
AUTHORSHIP,NOUN,list,40
AUTHORSHIP,NOUN,material,38
AUTHORSHIP,NOUN,series,36
AUTHORSHIP,NOUN,couple,34
AUTHORSHIP,NOUN,email,31
AUTHORSHIP,NOUN,event,31
AUTHORSHIP,NOUN,song,30
AUTHORSHIP,NOUN,ability,29
AUTHORSHIP,NOUN,note,28
AUTHORSHIP,NOUN,description,27
AUTHORSHIP,NOUN,picture,27
AUTHORSHIP,NOUN,fiction,26
AUTHORSHIP,NOUN,effect,25
AUTHORSHIP,NOUN,side,25
AUTHORSHIP,NOUN,reference,23
AUTHORSHIP,NOUN,web,23
AUTHORSHIP,NOUN,number,22
AUTHORSHIP,NOUN,self,22
AUTHORSHIP,NOUN,space,22
AUTHORSHIP,NOUN,order,20
AUTHORSHIP,NOUN,problem,19
AUTHORSHIP,VERB,be,3934
AUTHORSHIP,VERB,work,569
AUTHORSHIP,VERB,create,310
AUTHORSHIP,VERB,write,310
AUTHORSHIP,VERB,go,218
AUTHORSHIP,VERB,need,218
AUTHORSHIP,VERB,design,177
AUTHORSHIP,VERB,change,125
AUTHORSHIP,VERB,edit,103
AUTHORSHIP,VERB,put,71
AUTHORSHIP,VERB,include,64
AUTHORSHIP,VERB,draft,62
AUTHORSHIP,VERB,read,61
AUTHORSHIP,VERB,produce,60
AUTHORSHIP,VERB,add,57
AUTHORSHIP,VERB,improve,56
AUTHORSHIP,VERB,involve,56
AUTHORSHIP,VERB,show,48
AUTHORSHIP,VERB,answer,42
AUTHORSHIP,VERB,draw,42
AUTHORSHIP,VERB,flow,42
AUTHORSHIP,VERB,finish,41
AUTHORSHIP,VERB,love,41
AUTHORSHIP,VERB,mention,41
AUTHORSHIP,VERB,plan,39
AUTHORSHIP,VERB,pay,37
AUTHORSHIP,VERB,sell,35
AUTHORSHIP,VERB,move,34
AUTHORSHIP,VERB,lose,33
AUTHORSHIP,VERB,build,32
AUTHORSHIP,VERB,suggest,29
AUTHORSHIP,VERB,cut,28
AUTHORSHIP,VERB,paint,27
AUTHORSHIP,VERB,remove,26
AUTHORSHIP,VERB,send,26
AUTHORSHIP,VERB,publish,25
AUTHORSHIP,VERB,train,24
AUTHORSHIP,VERB,enjoy,20
AUTHORSHIP,VERB,miss,20
AUTHORSHIP,VERB,break,19
AUTHORSHIP,VERB,identify,19
AUTHORSHIP,VERB,integrate,19
AUTHORSHIP,VERB,assist,18
AUTHORSHIP,VERB,craft,18
AUTHORSHIP,VERB,feed,18
AUTHORSHIP,VERB,organize,18
AUTHORSHIP,VERB,upload,18
AUTHORSHIP,VERB,bring,17
AUTHORSHIP,VERB,consume,16
AUTHORSHIP,VERB,receive,16
AUTHORSHIP,VERB,clean,15
AUTHORSHIP,VERB,incorporate,15
AUTHORSHIP,VERB,mix,14
AUTHORSHIP,VERB,deliver,13
AUTHORSHIP,VERB,combine,12
AUTHORSHIP,VERB,lean,10
CONTROL,NOUN,question,112
CONTROL,NOUN,decision,80
CONTROL,NOUN,media,65
CONTROL,NOUN,flow,42
CONTROL,NOUN,control,37
CONTROL,NOUN,direction,37
CONTROL,NOUN,experience,35
CONTROL,NOUN,chat,26
CONTROL,VERB,make,403
CONTROL,VERB,let,73
CONTROL,VERB,drive,58
CONTROL,VERB,set,50
CONTROL,VERB,allow,49
CONTROL,VERB,lead,30
CONTROL,VERB,decide,29
CONTROL,VERB,choose,20
CONTROL,VERB,guide,20
CONTROL,VERB,pick,17
CONTROL,VERB,direct,15
CONTROL,VERB,manage,13
CONTROL,VERB,determine,11
IDEATION,NOUN,use,1019
IDEATION,NOUN,idea,440
IDEATION,NOUN,sound,149
IDEATION,NOUN,editing,91
IDEATION,NOUN,etc.,86
IDEATION,NOUN,style,81
IDEATION,NOUN,concept,59
IDEATION,NOUN,creativity,50
IDEATION,NOUN,outline,49
IDEATION,NOUN,inspiration,45
IDEATION,NOUN,area,44
IDEATION,NOUN,theme,42
IDEATION,NOUN,sort,38
IDEATION,NOUN,term,35
IDEATION,NOUN,blog,34
IDEATION,NOUN,feature,31
IDEATION,NOUN,marketing,31
IDEATION,NOUN,fact,28
IDEATION,NOUN,tone,28
IDEATION,NOUN,reader,27
IDEATION,NOUN,option,24
IDEATION,NOUN,planning,23
IDEATION,NOUN,board,21
IDEATION,NOUN,course,21
IDEATION,NOUN,situation,17
IDEATION,VERB,have,1431
IDEATION,VERB,like,518
IDEATION,VERB,think,394
IDEATION,VERB,get,360
IDEATION,VERB,give,216
IDEATION,VERB,come,211
IDEATION,VERB,find,208
IDEATION,VERB,look,167
IDEATION,VERB,research,157
IDEATION,VERB,start,137
IDEATION,VERB,try,129
IDEATION,VERB,tell,93
IDEATION,VERB,keep,79
IDEATION,VERB,base,64
IDEATION,VERB,brainstorm,50
IDEATION,VERB,outline,49
IDEATION,VERB,learn,48
IDEATION,VERB,copy,45
IDEATION,VERB,develop,38
IDEATION,VERB,turn,35
IDEATION,VERB,search,34
IDEATION,VERB,refine,32
IDEATION,VERB,complete,30
IDEATION,VERB,expand,30
IDEATION,VERB,consider,28
IDEATION,VERB,talk,28
IDEATION,VERB,follow,27
IDEATION,VERB,spark,27
IDEATION,VERB,figure,24
IDEATION,VERB,present,23
IDEATION,VERB,discuss,22
IDEATION,VERB,imagine,19
IDEATION,VERB,explore,17
IDEATION,VERB,bounce,16
IDEATION,VERB,explain,16
IDEATION,VERB,shift,16
IDEATION,VERB,connect,15
IDEATION,VERB,pull,15
IDEATION,VERB,utilize,15
IDEATION,VERB,prepare,14
IDEATION,VERB,stay,14
IDEATION,VERB,offer,13
IDEATION,VERB,iterate,12
IDEATION,VERB,share,12
IDEATION,VERB,engage,11
IDEATION,VERB,wait,11
IDEATION,VERB,hone,10
