category,agent_class,subject_lemma,edge_count
CONTROL,OTHER,response,1
CONTROL,OTHER,story,1
CONTROL,OTHER,text,1
CONTROL,OTHER,want,1
IDEATION,AI,ai,61
IDEATION,AI,model,18
IDEATION,AI,tool,6
IDEATION,AI,assistant,2
IDEATION,AI,llm,2
IDEATION,AI,chatgpt,1
IDEATION,HUMAN,person,30
IDEATION,HUMAN,client,6
IDEATION,HUMAN,human,5
IDEATION,HUMAN,author,4
IDEATION,HUMAN,artist,2
IDEATION,HUMAN,writer,1
IDEATION,OTHER,image,6
IDEATION,OTHER,project,5
IDEATION,OTHER,work,5
IDEATION,OTHER,company,4
IDEATION,OTHER,one,4
IDEATION,OTHER,process,4
IDEATION,OTHER,art,3
IDEATION,OTHER,idea,3
IDEATION,OTHER,thing,3
IDEATION,OTHER,video,3
IDEATION,OTHER,book,2
IDEATION,OTHER,character,2
IDEATION,OTHER,element,2
IDEATION,OTHER,example,2
IDEATION,OTHER,generation,2
IDEATION,OTHER,market,2
IDEATION,OTHER,novel,2
IDEATION,OTHER,piece,2
IDEATION,OTHER,plan,2
IDEATION,OTHER,reader,2
IDEATION,OTHER,time,2
IDEATION,OTHER,amount,1
IDEATION,OTHER,ask,1
IDEATION,OTHER,aspect,1
IDEATION,OTHER,asset,1
IDEATION,OTHER,attempt,1
IDEATION,OTHER,business,1
IDEATION,OTHER,color,1
IDEATION,OTHER,creation,1
IDEATION,OTHER,design,1
IDEATION,OTHER,draft,1
IDEATION,OTHER,editing,1
IDEATION,OTHER,email,1
IDEATION,OTHER,event,1
IDEATION,OTHER,eye,1
IDEATION,OTHER,go,1
IDEATION,OTHER,life,1
IDEATION,OTHER,lot,1
IDEATION,OTHER,media,1
IDEATION,OTHER,outline,1
IDEATION,OTHER,output,1
IDEATION,OTHER,part,1
IDEATION,OTHER,perspective,1
IDEATION,OTHER,photo,1
IDEATION,OTHER,post,1
IDEATION,OTHER,product,1
IDEATION,OTHER,prompt,1
IDEATION,OTHER,research,1
IDEATION,OTHER,scene,1
IDEATION,OTHER,see,1
IDEATION,OTHER,side,1
IDEATION,OTHER,software,1
IDEATION,OTHER,source,1
IDEATION,OTHER,task,1
IDEATION,OTHER,term,1
IDEATION,OTHER,version,1
IDEATION,OTHER,word,1
IDEATION,OTHER,writing,1
